ch_Species Acp_g Bcp_g Ccp_g Dcp_g Ecp_g AcpH_g BcpH_g CcpH_g DcpH_g EcpH_g Tmin Tmed Tmax Amu_g Bmu_g Cmu_g Ak_g Bk_g Ck_g Ad Bd Cd
2,2,4-trimethyloctane -2.7325 0.12842 -5.9025e-05 -2.6015e-09 7.0704e-12 21.732 0.073783 -2.9303e-05 5.329e-09 -3.662e-13 100 1125.21 5000 0 0 0 0 0 0 0 0 0
3,3,4-trimethyloctane -2.8817 0.1303 -5.8313e-05 -6.1356e-09 8.6412e-12 23.3412 0.072608 -2.9307e-05 5.3927e-09 -3.7363e-13 100 1118.75 5000 0 0 0 0 0 0 0 0 0
2,2,7-trimethyloctane -3.0028 0.13396 -7.1665e-05 9.4673e-09 2.8443e-12 23.8185 0.072236 -2.9294e-05 5.3545e-09 -3.6738e-13 100 1196.85 5000 0 0 0 0 0 0 0 0 0
4,4,5-trimethyloctane -3.0028 0.13396 -7.1665e-05 9.4673e-09 2.8443e-12 23.8185 0.072236 -2.9294e-05 5.3545e-09 -3.6738e-13 100 1196.85 5000 0 0 0 0 0 0 0 0 0
3,5,5-trimethyloctane -2.8814 0.13236 -7.3213e-05 1.3852e-08 1.0039e-12 22.6204 0.072772 -2.8945e-05 5.2134e-09 -3.5378e-13 100 1231.5 5000 0 0 0 0 0 0 0 0 0
3,4,6-trimethyloctane -2.8814 0.13236 -7.3213e-05 1.3852e-08 1.0039e-12 22.6204 0.072772 -2.8945e-05 5.2134e-09 -3.5378e-13 100 1231.5 5000 0 0 0 0 0 0 0 0 0
3,3,5-trimethyloctane -2.8814 0.13236 -7.3213e-05 1.3852e-08 1.0039e-12 22.6204 0.072772 -2.8945e-05 5.2134e-09 -3.5378e-13 100 1231.5 5000 0 0 0 0 0 0 0 0 0
3,3,6-trimethyloctane -3.0028 0.13396 -7.1665e-05 9.4673e-09 2.8443e-12 23.8185 0.072236 -2.9294e-05 5.3545e-09 -3.6738e-13 100 1196.85 5000 0 0 0 0 0 0 0 0 0
2,4,7-trimethyloctane -2.8814 0.13236 -7.3213e-05 1.3852e-08 1.0039e-12 22.6204 0.072772 -2.8945e-05 5.2134e-09 -3.5378e-13 100 1231.5 5000 0 0 0 0 0 0 0 0 0
2,6,6-trimethyloctane -2.8814 0.13236 -7.3213e-05 1.3852e-08 1.0039e-12 22.6204 0.072772 -2.8945e-05 5.2134e-09 -3.5378e-13 100 1231.5 5000 0 0 0 0 0 0 0 0 0
2,5,6-trimethyloctane -3.0028 0.13396 -7.1665e-05 9.4673e-09 2.8443e-12 23.8185 0.072236 -2.9294e-05 5.3545e-09 -3.6738e-13 100 1196.85 5000 0 0 0 0 0 0 0 0 0
2,5,5-trimethyloctane -3.0028 0.13396 -7.1665e-05 9.4673e-09 2.8443e-12 23.8185 0.072236 -2.9294e-05 5.3545e-09 -3.6738e-13 100 1196.85 5000 0 0 0 0 0 0 0 0 0
3,4,5-trimethyloctane -2.8814 0.13236 -7.3213e-05 1.3852e-08 1.0039e-12 22.6204 0.072772 -2.8945e-05 5.2134e-09 -3.5378e-13 100 1231.5 5000 0 0 0 0 0 0 0 0 0
4,4-diethyloctane -3.0028 0.13396 -7.1665e-05 9.4673e-09 2.8443e-12 23.8185 0.072236 -2.9294e-05 5.3545e-09 -3.6738e-13 100 1196.85 5000 0 0 0 0 0 0 0 0 0
3,3-diethyloctane -3.0028 0.13396 -7.1665e-05 9.4673e-09 2.8443e-12 23.8185 0.072236 -2.9294e-05 5.3545e-09 -3.6738e-13 100 1196.85 5000 0 0 0 0 0 0 0 0 0
3,6-diethyloctane -3.0028 0.13396 -7.1665e-05 9.4673e-09 2.8443e-12 23.8185 0.072236 -2.9294e-05 5.3545e-09 -3.6738e-13 100 1196.85 5000 0 0 0 0 0 0 0 0 0
3,5-diethyloctane -3.0028 0.13396 -7.1665e-05 9.4673e-09 2.8443e-12 23.8185 0.072236 -2.9294e-05 5.3545e-09 -3.6738e-13 100 1196.85 5000 0 0 0 0 0 0 0 0 0
4,5-diethyloctane -3.0028 0.13396 -7.1665e-05 9.4673e-09 2.8443e-12 23.8185 0.072236 -2.9294e-05 5.3545e-09 -3.6738e-13 100 1196.85 5000 0 0 0 0 0 0 0 0 0
3,4-diethyloctane -3.0028 0.13396 -7.1665e-05 9.4673e-09 2.8443e-12 23.8185 0.072236 -2.9294e-05 5.3545e-09 -3.6738e-13 100 1196.85 5000 0 0 0 0 0 0 0 0 0
2,2-dimethyl,3,3-diethylhexane -2.8814 0.13236 -7.3213e-05 1.3852e-08 1.0039e-12 22.6204 0.072772 -2.8945e-05 5.2134e-09 -3.5378e-13 100 1231.5 5000 0 0 0 0 0 0 0 0 0
2,5-dimethyl-3,3-diethylhexane -3.0028 0.13396 -7.1665e-05 9.4673e-09 2.8443e-12 23.8185 0.072236 -2.9294e-05 5.3545e-09 -3.6738e-13 100 1196.85 5000 0 0 0 0 0 0 0 0 0
2,4-dimethyl-3,3-diethylhexane -3.0028 0.13396 -7.1665e-05 9.4673e-09 2.8443e-12 23.8185 0.072236 -2.9294e-05 5.3545e-09 -3.6738e-13 100 1196.85 5000 0 0 0 0 0 0 0 0 0
2,2-dimethyl-3,4-diethylhexane -2.8814 0.13236 -7.3213e-05 1.3852e-08 1.0039e-12 22.6204 0.072772 -2.8945e-05 5.2134e-09 -3.5378e-13 100 1231.5 5000 0 0 0 0 0 0 0 0 0
2,3-dimethyl-3,4-diethylhexane -3.0028 0.13396 -7.1665e-05 9.4673e-09 2.8443e-12 23.8185 0.072236 -2.9294e-05 5.3545e-09 -3.6738e-13 100 1196.85 5000 0 0 0 0 0 0 0 0 0
2,4-dimethyl-3,4-diethylhexane -2.8814 0.13236 -7.3213e-05 1.3852e-08 1.0039e-12 22.6204 0.072772 -2.8945e-05 5.2134e-09 -3.5378e-13 100 1231.5 5000 0 0 0 0 0 0 0 0 0
2,5-dimethyl-3,4-diethylhexane -3.0028 0.13396 -7.1665e-05 9.4673e-09 2.8443e-12 23.8185 0.072236 -2.9294e-05 5.3545e-09 -3.6738e-13 100 1196.85 5000 0 0 0 0 0 0 0 0 0
3,4-dimethyl-3,4-diethylhexane -2.8814 0.13236 -7.3213e-05 1.3852e-08 1.0039e-12 22.6204 0.072772 -2.8945e-05 5.2134e-09 -3.5378e-13 100 1231.5 5000 0 0 0 0 0 0 0 0 0
2,4-dimethyl-3-ethyl-3-isopropylpentane -3.8282 0.15284 -9.9356e-05 3.2416e-08 -4.2949e-12 31.8253 0.070458 -2.7971e-05 4.9253e-09 -3.2477e-13 100 1731.05 5000 0 0 0 0 0 0 0 0 0
3,4-dimethyl-3-ethyloctane -3.8282 0.15284 -9.9356e-05 3.2416e-08 -4.2949e-12 31.8253 0.070458 -2.7971e-05 4.9253e-09 -3.2477e-13 100 1731.05 5000 0 0 0 0 0 0 0 0 0
2,2-dimethyl-3-ethyloctane -3.5331 0.14943 -9.5543e-05 3.1063e-08 -4.1389e-12 28.6754 0.073916 -2.9154e-05 5.1212e-09 -3.3763e-13 100 1706.13 5000 0 0 0 0 0 0 0 0 0
2,3-dimethyl-3-ethyloctane -3.5331 0.14943 -9.5543e-05 3.1063e-08 -4.1389e-12 28.6754 0.073916 -2.9154e-05 5.1212e-09 -3.3763e-13 100 1706.13 5000 0 0 0 0 0 0 0 0 0
3,6-dimethyl-3-ethyloctane -3.5331 0.14943 -9.5543e-05 3.1063e-08 -4.1389e-12 28.6754 0.073916 -2.9154e-05 5.1212e-09 -3.3763e-13 100 1706.13 5000 0 0 0 0 0 0 0 0 0
4,4-dimethyl-3-ethyloctane -3.5331 0.14943 -9.5543e-05 3.1063e-08 -4.1389e-12 28.6754 0.073916 -2.9154e-05 5.1212e-09 -3.3763e-13 100 1706.13 5000 0 0 0 0 0 0 0 0 0
4,5-dimethyl-3-ethyloctane -3.8212 0.14858 -7.6592e-05 4.3794e-09 5.8231e-12 27.2452 0.077604 -3.1873e-05 5.899e-09 -4.0906e-13 100 1156.23 5000 0 0 0 0 0 0 0 0 0
2,5-dimethyl-3-ethyloctane -3.6813 0.14679 -7.7595e-05 8.2178e-09 4.1527e-12 25.7562 0.078591 -3.1765e-05 5.8121e-09 -3.9977e-13 100 1169.92 5000 0 0 0 0 0 0 0 0 0
3,5-dimethyl-3-ethyloctane -3.6813 0.14679 -7.7595e-05 8.2178e-09 4.1527e-12 25.7562 0.078591 -3.1765e-05 5.8121e-09 -3.9977e-13 100 1169.92 5000 0 0 0 0 0 0 0 0 0
2,6-dimethyl-3-ethyloctane -3.6813 0.14679 -7.7595e-05 8.2178e-09 4.1527e-12 25.7562 0.078591 -3.1765e-05 5.8121e-09 -3.9977e-13 100 1169.92 5000 0 0 0 0 0 0 0 0 0
2,4-dimethyl-3-ethyloctane -3.6813 0.14679 -7.7595e-05 8.2178e-09 4.1527e-12 25.7562 0.078591 -3.1765e-05 5.8121e-09 -3.9977e-13 100 1169.92 5000 0 0 0 0 0 0 0 0 0
2,7-dimethyl-3-ethyloctane -3.6813 0.14679 -7.7595e-05 8.2178e-09 4.1527e-12 25.7562 0.078591 -3.1765e-05 5.8121e-09 -3.9977e-13 100 1169.92 5000 0 0 0 0 0 0 0 0 0
2,4-dimethyl-3-isopropylheptane -3.5497 0.14508 -7.886e-05 1.2337e-08 2.3865e-12 24.3689 0.079418 -3.1571e-05 5.7056e-09 -3.8891e-13 100 1190.55 5000 0 0 0 0 0 0 0 0 0
2,2-dimethyl-3-isopropylheptane -3.8212 0.14858 -7.6592e-05 4.3794e-09 5.8231e-12 27.2452 0.077604 -3.1873e-05 5.899e-09 -4.0906e-13 100 1156.23 5000 0 0 0 0 0 0 0 0 0
2,5-dimethyl-3-isopropylheptane -3.5651 0.14317 -6.4275e-05 -7.4688e-09 1.0033e-11 25.4792 0.078656 -3.1615e-05 5.8139e-09 -4.0313e-13 100 1107.38 5000 0 0 0 0 0 0 0 0 0
2,6-dimethyl-3-isopropylheptane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
2,3-dimethyl-3-isopropylheptane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
2,2-dimethyl-3-tert-butylhexane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
2,2-dimethyl-4,4-diethylhexane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
2,3-dimethyl-4,4-diethylhexane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
3,3-dimethyl-4,4-diethylhexane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
2,5-dimethyl-4-ethyloctane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
2,4-dimethyl-4-ethyloctane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
2,6-dimethyl-4-ethyloctane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
2,3-dimethyl-4-ethyloctane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
2,7-dimethyl-4-ethyloctane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
3,6-dimethyl-4-ethyloctane -3.5497 0.14508 -7.886e-05 1.2337e-08 2.3865e-12 24.3689 0.079418 -3.1571e-05 5.7056e-09 -3.8891e-13 100 1190.55 5000 0 0 0 0 0 0 0 0 0
4,5-dimethyl-4-ethyloctane -3.6813 0.14679 -7.7595e-05 8.2178e-09 4.1527e-12 25.7562 0.078591 -3.1765e-05 5.8121e-09 -3.9977e-13 100 1169.92 5000 0 0 0 0 0 0 0 0 0
3,4-dimethyl-4-ethyloctane -3.5497 0.14508 -7.886e-05 1.2337e-08 2.3865e-12 24.3689 0.079418 -3.1571e-05 5.7056e-09 -3.8891e-13 100 1190.55 5000 0 0 0 0 0 0 0 0 0
3,5-dimethyl-4-ethyloctane -3.5497 0.14508 -7.886e-05 1.2337e-08 2.3865e-12 24.3689 0.079418 -3.1571e-05 5.7056e-09 -3.8891e-13 100 1190.55 5000 0 0 0 0 0 0 0 0 0
2,2-dimethyl-4-ethyloctane -3.6813 0.14679 -7.7595e-05 8.2178e-09 4.1527e-12 25.7562 0.078591 -3.1765e-05 5.8121e-09 -3.9977e-13 100 1169.92 5000 0 0 0 0 0 0 0 0 0
3,3-dimethyl-4-ethyloctane -3.7182 0.1451 -6.3701e-05 -1.0847e-08 1.1547e-11 27.124 0.077424 -3.1588e-05 5.8703e-09 -4.0997e-13 100 1104.39 5000 0 0 0 0 0 0 0 0 0
3,5-dimethyl-4-isopropylheptane -3.8212 0.14858 -7.6592e-05 4.3794e-09 5.8231e-12 27.2452 0.077604 -3.1873e-05 5.899e-09 -4.0906e-13 100 1156.23 5000 0 0 0 0 0 0 0 0 0
2,3-dimethyl-4-isopropylheptane -3.6813 0.14679 -7.7595e-05 8.2178e-09 4.1527e-12 25.7562 0.078591 -3.1765e-05 5.8121e-09 -3.9977e-13 100 1169.92 5000 0 0 0 0 0 0 0 0 0
2,4-dimethyl-4-isopropylheptane -3.8212 0.14858 -7.6592e-05 4.3794e-09 5.8231e-12 27.2452 0.077604 -3.1873e-05 5.899e-09 -4.0906e-13 100 1156.23 5000 0 0 0 0 0 0 0 0 0
2,5-dimethyl-4-isopropylheptane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
3,3-dimethyl-4-isopropylheptane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
2,6-dimethyl-4-isopropylheptane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
3,4-dimethyl-4-isopropylheptane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
2,2-dimethyl-4-isopropylheptane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
3,3-dimethyl-4-propylheptane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
2,5-dimethyl-4-propylheptane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
2,3-dimethyl-4-propylheptane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
2,2-dimethyl-4-propylheptane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
2,6-dimethyl-4-propylheptane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
3,4-dimethyl-4-propylheptane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
3,5-dimethyl-4-propylheptane -3.5497 0.14508 -7.886e-05 1.2337e-08 2.3865e-12 24.3689 0.079418 -3.1571e-05 5.7056e-09 -3.8891e-13 100 1190.55 5000 0 0 0 0 0 0 0 0 0
2,4-dimethyl-4-propylheptane -3.5497 0.14508 -7.886e-05 1.2337e-08 2.3865e-12 24.3689 0.079418 -3.1571e-05 5.7056e-09 -3.8891e-13 100 1190.55 5000 0 0 0 0 0 0 0 0 0
3,5-dimethyl-5-ethyloctane -3.6813 0.14679 -7.7595e-05 8.2178e-09 4.1527e-12 25.7562 0.078591 -3.1765e-05 5.8121e-09 -3.9977e-13 100 1169.92 5000 0 0 0 0 0 0 0 0 0
4,4-dimethyl-5-ethyloctane -3.5497 0.14508 -7.886e-05 1.2337e-08 2.3865e-12 24.3689 0.079418 -3.1571e-05 5.7056e-09 -3.8891e-13 100 1190.55 5000 0 0 0 0 0 0 0 0 0
3,3-dimethyl-5-ethyloctane -3.6813 0.14679 -7.7595e-05 8.2178e-09 4.1527e-12 25.7562 0.078591 -3.1765e-05 5.8121e-09 -3.9977e-13 100 1169.92 5000 0 0 0 0 0 0 0 0 0
2,5-dimethyl-5-ethyloctane -3.5497 0.14508 -7.886e-05 1.2337e-08 2.3865e-12 24.3689 0.079418 -3.1571e-05 5.7056e-09 -3.8891e-13 100 1190.55 5000 0 0 0 0 0 0 0 0 0
2,2-dimethyl-5-ethyloctane -3.6813 0.14679 -7.7595e-05 8.2178e-09 4.1527e-12 25.7562 0.078591 -3.1765e-05 5.8121e-09 -3.9977e-13 100 1169.92 5000 0 0 0 0 0 0 0 0 0
2,3-dimethyl-5-ethyloctane -3.6813 0.14679 -7.7595e-05 8.2178e-09 4.1527e-12 25.7562 0.078591 -3.1765e-05 5.8121e-09 -3.9977e-13 100 1169.92 5000 0 0 0 0 0 0 0 0 0
2,6-dimethyl-5-ethyloctane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
2,4-dimethyl-5-ethyloctane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
3,4-dimethyl-5-ethyloctane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
3,3-dimethyl-6-ethyloctane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
2,4-dimethyl-6-ethyloctane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
3,4-dimethyl-6-ethyloctane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
4,4-dimethyl-6-ethyloctane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
3,5-dimethyl-6-ethyloctane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
2,2-dimethyl-6-ethyloctane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
2,5-dimethyl-6-ethyloctane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
2,6-dimethyl-6-ethyloctane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
2,3-dimethyl-6-ethyloctane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
4,6-dimethyldecane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
4,7-dimethyldecane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
5,5-dimethyldecane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
2,9-dimethyldecane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
2,2-dimethyldecane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
2,3-dimethyldecane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
5,6-dimethyldecane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
2,5-dimethyldecane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
2,6-dimethyldecane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
2,4-dimethyldecane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
2,8-dimethyldecane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
4,5-dimethyldecane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
3,3-dimethyldecane -3.8893 0.15129 -9.3123e-05 2.5659e-08 -2.0637e-12 28.182 0.07526 -3.0184e-05 5.4264e-09 -3.6607e-13 100 1336.84 5000 0 0 0 0 0 0 0 0 0
3,4-dimethyldecane -3.8477 0.15043 -9.6421e-05 3.1353e-08 -4.1465e-12 31.3083 0.069546 -2.6644e-05 4.5982e-09 -2.9943e-13 100 1738.67 5000 0 0 0 0 0 0 0 0 0
3,5-dimethyldecane -3.5331 0.14943 -9.5543e-05 3.1063e-08 -4.1389e-12 28.6754 0.073916 -2.9154e-05 5.1212e-09 -3.3763e-13 100 1706.13 5000 0 0 0 0 0 0 0 0 0
3,6-dimethyldecane -3.5331 0.14943 -9.5543e-05 3.1063e-08 -4.1389e-12 28.6754 0.073916 -2.9154e-05 5.1212e-09 -3.3763e-13 100 1706.13 5000 0 0 0 0 0 0 0 0 0
3,7-dimethyldecane -3.8282 0.15284 -9.9356e-05 3.2416e-08 -4.2949e-12 31.8253 0.070458 -2.7971e-05 4.9253e-09 -3.2477e-13 100 1731.05 5000 0 0 0 0 0 0 0 0 0
3,8-dimethyldecane -3.5331 0.14943 -9.5543e-05 3.1063e-08 -4.1389e-12 28.6754 0.073916 -2.9154e-05 5.1212e-09 -3.3763e-13 100 1706.13 5000 0 0 0 0 0 0 0 0 0
4,4-dimethyldecane -3.8282 0.15284 -9.9356e-05 3.2416e-08 -4.2949e-12 31.8253 0.070458 -2.7971e-05 4.9253e-09 -3.2477e-13 100 1731.05 5000 0 0 0 0 0 0 0 0 0
2,7-dimethyldecane -3.5331 0.14943 -9.5543e-05 3.1063e-08 -4.1389e-12 28.6754 0.073916 -2.9154e-05 5.1212e-09 -3.3763e-13 100 1706.13 5000 0 0 0 0 0 0 0 0 0
4-ethyl-4-isopropylheptane -3.5331 0.14943 -9.5543e-05 3.1063e-08 -4.1389e-12 28.6754 0.073916 -2.9154e-05 5.1212e-09 -3.3763e-13 100 1706.13 5000 0 0 0 0 0 0 0 0 0
3-ethyl-4-isopropylheptane -3.5331 0.14943 -9.5543e-05 3.1063e-08 -4.1389e-12 28.6754 0.073916 -2.9154e-05 5.1212e-09 -3.3763e-13 100 1706.13 5000 0 0 0 0 0 0 0 0 0
4-ethyl-4-propylheptane -3.5331 0.14943 -9.5543e-05 3.1063e-08 -4.1389e-12 28.6754 0.073916 -2.9154e-05 5.1212e-09 -3.3763e-13 100 1706.13 5000 0 0 0 0 0 0 0 0 0
3-ethyl-4-propylheptane -3.5331 0.14943 -9.5543e-05 3.1063e-08 -4.1389e-12 28.6754 0.073916 -2.9154e-05 5.1212e-09 -3.3763e-13 100 1706.13 5000 0 0 0 0 0 0 0 0 0
4-ethyldecane -3.5331 0.14943 -9.5543e-05 3.1063e-08 -4.1389e-12 28.6754 0.073916 -2.9154e-05 5.1212e-09 -3.3763e-13 100 1706.13 5000 0 0 0 0 0 0 0 0 0
3-ethyldecane -3.5331 0.14943 -9.5543e-05 3.1063e-08 -4.1389e-12 28.6754 0.073916 -2.9154e-05 5.1212e-09 -3.3763e-13 100 1706.13 5000 0 0 0 0 0 0 0 0 0
