ch_Species Arho Brho n Acp Bcp Ccp Dcp
4-methyloctane 0.2452 0.2657 0.2998 177.646 0.7134 -0.0020348 2.9839e-06 
2,2,3,3-tetramethylpentane 0.2683 0.2839 0.2971 51.432 1.6682 -0.0043927 4.6698e-06 
2,2,3,4-tetramethylpentane 0.2618 0.2817 0.292 181.88 0.5346 -0.0014697 2.2562e-06 
2,3,3,4-tetramethylpentane 0.2369 0.251 0.2857 241.147 -0.1682 0.00082339 0 
2,2,4,4-tetramethylpentane 0.2545 0.2789 0.2863 110.024 1.1491 -0.0033554 4.1855e-06 
2,2,5-trimethylhexane 0.2454 0.2675 0.2954 164.72 0.7306 -0.00213 3.1505e-06 
2,2,3-trimethylhexane 0.2366 0.254 0.2857 242.06 -0.1718 0.00083347 0 
2,3,5-trimethylhexane 0.2355 0.254 0.2857 236.67 -0.162 0.00083248 0 
3,3,4-trimethylhexane 0.2401 0.254 0.2857 256.9 -0.2029 0.00086327 0 
2,3,4-trimethylhexane 0.2376 0.252 0.2857 249.607 -0.18 0.00084982 0 
2,4,4-trimethylhexane 0.2336 0.251 0.2857 240.788 -0.1905 0.00087041 0 
2,3,3-trimethylhexane 0.2379 0.253 0.2857 248.056 -0.1762 0.00083591 0 
2,2,4-trimethylhexane 0.2338 0.253 0.2857 233.575 -0.1777 0.00085469 0 
3,3-dimethyloctane 0.2283 0.243 0.2857 306.637 -0.3562 0.0011158 0 
4,5-dimethyloctane 0.2285 0.24 0.2857 308.309 -0.3634 0.001134 0 
3,6-dimethyloctane 0.228 0.243 0.2857 306.433 -0.362 0.0011316 0 
3,5-dimethyloctane 0.2268 0.241 0.2857 304.961 -0.3667 0.0011431 0 
4,4-dimethyloctane 0.2254 0.24 0.2857 302.371 -0.3637 0.0011344 0 
3,4-dimethyloctane 0.2292 0.242 0.2857 309.671 -0.3591 0.0011231 0 
2,6-dimethyloctane 0.2289 0.247 0.2857 307.57 -0.365 0.0011423 0 
2,5-dimethyloctane 0.2275 0.244 0.2857 303.643 -0.3653 0.0011403 0 
2,3-dimethyloctane 0.2279 0.243 0.2857 310.889 -0.3603 0.0011271 0 
2,2-dimethyloctane 0.2479 0.2714 0.2931 183.234 0.8752 -0.0024074 3.2467e-06 
2,4-dimethyloctane 0.226 0.243 0.2857 300.513 -0.3684 0.0011483 0 
3-ethyl-2,2,3-trimethylpentane 0.2361 0.241 0.2857 301.78 -0.2518 0.00093718 0 
3-ethyl-2,2,4-trimethylpentane 0.2312 0.24 0.2857 284.11 -0.2705 0.00099146 0 
4-ethyl-2,2-dimethylhexane 0.2282 0.242 0.2857 288.944 -0.3612 0.0011276 0 
3-ethyl-2,2-dimethylhexane 0.2282 0.239 0.2857 300.06 -0.3541 0.0011084 0 
3-ethyl-2,3,4-trimethylpentane 0.2351 0.241 0.2857 301.839 -0.2562 0.00095037 0 
4-ethyl-2,3-dimethylhexane 0.2297 0.239 0.2857 306.225 -0.354 0.0011081 0 
3-ethyl-2,3-dimethylhexane 0.2319 0.24 0.2857 309.032 -0.341 0.0010745 0 
4-ethyl-2,4-dimethylhexane 0.2311 0.241 0.2857 305.829 -0.3442 0.0010831 0 
3-ethyl-2,4-dimethylhexane 0.2297 0.239 0.2857 305.208 -0.3544 0.0011093 0 
3-ethyl-2,5-dimethylhexane 0.2276 0.24 0.2857 298.068 -0.3633 0.0011328 0 
4-ethyl-2-methylheptane 0.2248 0.238 0.2857 301.426 -0.3745 0.0011622 0 
5-ethyl-2-methylheptane 0.2264 0.241 0.2857 305.343 -0.3666 0.0011428 0 
3-ethyl-2-methylheptane 0.2268 0.239 0.2857 307.322 -0.366 0.0011403 0 
4-ethyl-3,3-dimethylhexane 0.2312 0.239 0.2857 308.177 -0.3433 0.00108 0 
3-ethyl-3,4-dimethylhexane 0.2305 0.238 0.2857 307.296 -0.3456 0.0010857 0 
4-ethyl-3-methylheptane 0.2269 0.237 0.2857 308.658 -0.3658 0.0011388 0 
