ch_Species Arho Brho n Acp Bcp Ccp Dcp
2,2,4,5-tetramethylheptane 0.2487 0.2664 0.2857 206.025 0.7878 -0.0021358 2.9319e-06 
2,3,4-trimethyl-3-ethylhexane 0.2487 0.2527 0.2857 210.436 0.7545 -0.0019849 2.6883e-06 
2,2,5-trimethyl-3-ethylhexane 0.2487 0.2639 0.2857 205.57 0.7911 -0.0021431 2.9389e-06 
2,3,5-trimethyl-3-ethylhexane 0.2487 0.2593 0.2857 207.103 0.7793 -0.0020897 2.8529e-06 
2,4,4-trimethyl-3-ethylhexane 0.2487 0.2569 0.2857 207.217 0.7784 -0.0020813 2.8368e-06 
2,2,4-trimethyl-3-ethylhexane 0.2487 0.2593 0.2857 206.499 0.7838 -0.0021064 2.8774e-06 
2,2,3-trimethyl-3-ethylhexane 0.2483 0.254 0.2857 195.282 0.8343 -0.0021758 2.8437e-06 
2,2,4-trimethyl-3-isopropylpentane 0.2511 0.2629 0.2857 211.567 0.7132 -0.0019223 2.7095e-06 
2,3,4-trimethyl-3-isopropylpentane 0.2511 0.254 0.2857 216.198 0.6792 -0.0017775 2.4767e-06 
2,3,3-trimethyl-4-ethylhexane 0.2487 0.2549 0.2857 209.153 0.7639 -0.0020239 2.749e-06 
2,2,5-trimethyl-4-ethylhexane 0.2487 0.266 0.2857 204.074 0.8027 -0.0021907 3.0126e-06 
2,3,4-trimethyl-4-ethylhexane 0.2487 0.2543 0.2857 207.242 0.7781 -0.002075 2.8235e-06 
2,2,4-trimethyl-4-ethylhexane 0.2483 0.2598 0.2857 196.695 0.8242 -0.0021519 2.8184e-06 
3,3,4-trimethyl-4-ethylhexane 0.2483 0.2501 0.2857 199.526 0.802 -0.0020542 2.6675e-06 
2,3,5-trimethyl-4-ethylhexane 0.2491 0.2598 0.2857 219.492 0.7198 -0.0019752 2.8108e-06 
2,2,3-trimethyl-4-ethylhexane 0.2487 0.2593 0.2857 207.103 0.7793 -0.0020897 2.8529e-06 
2,2,6-trimethyloctane 0.2464 0.268 0.2857 202.348 0.8481 -0.0022839 3.0437e-06 
2,4,4-trimethyloctane 0.2464 0.2658 0.2857 199.41 0.8705 -0.0023612 3.1514e-06 
2,3,7-trimethyloctane 0.2467 0.2662 0.2857 216.989 0.7717 -0.00211 2.9203e-06 
2,3,6-trimethyloctane 0.2467 0.2638 0.2857 216.549 0.7751 -0.0021178 2.928e-06 
2,4,5-trimethyloctane 0.2467 0.2633 0.2857 214.104 0.7934 -0.0021863 3.0304e-06 
2,2,3-trimethyloctane 0.2464 0.2633 0.2857 203.383 0.84 -0.0022445 2.9798e-06 
2,3,5-trimethyloctane 0.2467 0.2634 0.2857 214.722 0.7888 -0.0021689 3.0043e-06 
2,4,6-trimethyloctane 0.2467 0.2657 0.2857 213.943 0.7945 -0.0021957 3.0485e-06 
2,2,5-trimethyloctane 0.2464 0.2676 0.2857 200.234 0.8643 -0.0023423 3.1271e-06 
3,4,4-trimethyloctane 0.2464 0.2584 0.2857 202.388 0.8473 -0.0022606 2.9953e-06 
2,3,4-trimethyloctane 0.2467 0.2611 0.2857 215.463 0.7834 -0.0021434 2.9621e-06 
2,3,3-trimethyloctane 0.2464 0.2611 0.2857 204.256 0.8333 -0.0022157 2.9352e-06 
2,2,4-trimethyloctane 0.2464 0.2677 0.2857 200.607 0.8614 -0.002332 3.1124e-06 
3,3,4-trimethyloctane 0.2464 0.2585 0.2857 203.061 0.8422 -0.0022424 2.9694e-06 
2,2,7-trimethyloctane 0.2464 0.2698 0.2857 200.599 0.8617 -0.0023374 3.1235e-06 
4,4,5-trimethyloctane 0.2464 0.2583 0.2857 201.729 0.8523 -0.0022786 3.0209e-06 
3,5,5-trimethyloctane 0.2464 0.262 0.2857 197.006 0.8889 -0.0024201 3.2302e-06 
3,4,6-trimethyloctane 0.2467 0.2611 0.2857 214.871 0.7878 -0.00216 2.987e-06 
3,3,5-trimethyloctane 0.2464 0.2627 0.2857 199.962 0.866 -0.0023382 3.1136e-06 
3,3,6-trimethyloctane 0.2464 0.2632 0.2857 202.062 0.85 -0.0022806 3.0314e-06 
2,4,7-trimethyloctane 0.2467 0.2695 0.2857 213.8 0.7955 -0.0022077 3.0731e-06 
2,6,6-trimethyloctane 0.2464 0.2656 0.2857 202.542 0.8465 -0.002273 3.0243e-06 
2,5,6-trimethyloctane 0.2467 0.2635 0.2857 215.318 0.7843 -0.0021521 2.9791e-06 
2,5,5-trimethyloctane 0.2464 0.2651 0.2857 199.759 0.8678 -0.0023497 3.1339e-06 
3,4,5-trimethyloctane 0.2467 0.2587 0.2857 215.011 0.7869 -0.0021515 2.9702e-06 
4,4-diethyloctane 0.2446 0.2537 0.2857 204.053 1.0807 -0.002849 3.5359e-06 
3,3-diethyloctane 0.2446 0.2561 0.2857 209.247 1.0413 -0.0027183 3.3643e-06 
3,6-diethyloctane 0.2449 0.2572 0.2857 222.813 0.9776 -0.0026254 3.3846e-06 
3,5-diethyloctane 0.2449 0.2569 0.2857 219.176 1.0051 -0.0027242 3.5234e-06 
4,5-diethyloctane 0.2449 0.2545 0.2857 217.895 1.0149 -0.002754 3.5607e-06 
3,4-diethyloctane 0.2449 0.2547 0.2857 219.423 1.0033 -0.0027124 3.5024e-06 
2,2-dimethyl,3,3-diethylhexane 0.2485 0.2494 0.2857 207.072 0.9573 -0.0024613 3.0864e-06 
2,5-dimethyl-3,3-diethylhexane 0.2489 0.2532 0.2857 216.012 0.9271 -0.0024795 3.2547e-06 
2,4-dimethyl-3,3-diethylhexane 0.2489 0.2471 0.2857 219.389 0.9016 -0.0023733 3.0926e-06 
2,2-dimethyl-3,4-diethylhexane 0.2489 0.2559 0.2857 217.382 0.9168 -0.0024484 3.2153e-06 
2,3-dimethyl-3,4-diethylhexane 0.2489 0.2504 0.2857 223.472 0.8712 -0.0022721 2.9548e-06 
2,4-dimethyl-3,4-diethylhexane 0.2489 0.2523 0.2857 221.965 0.8823 -0.0023161 3.0206e-06 
2,5-dimethyl-3,4-diethylhexane 0.2492 0.2562 0.2857 231.085 0.8498 -0.0023278 3.1842e-06 
3,4-dimethyl-3,4-diethylhexane 0.2485 0.2456 0.2857 211.784 0.9218 -0.0023313 2.9043e-06 
2,4-dimethyl-3-ethyl-3-isopropylpentane 0.2511 0.2494 0.2857 231.226 0.7816 -0.0020225 2.6959e-06 
3,4-dimethyl-3-ethyloctane 0.2467 0.2532 0.2857 213.798 0.9755 -0.0025676 3.2654e-06 
2,2-dimethyl-3-ethyloctane 0.2467 0.2602 0.2857 214.759 0.9684 -0.002559 3.2661e-06 
2,3-dimethyl-3-ethyloctane 0.2467 0.256 0.2857 216.671 0.9539 -0.0024982 3.1745e-06 
3,6-dimethyl-3-ethyloctane 0.2467 0.2581 0.2857 215.739 0.961 -0.0025278 3.2193e-06 
4,4-dimethyl-3-ethyloctane 0.2467 0.2814 0.2857 226.674 0.8794 -0.0022926 2.9313e-06 
4,5-dimethyl-3-ethyloctane 0.2471 0.256 0.2857 228.756 0.9004 -0.0024296 3.2182e-06 
2,5-dimethyl-3-ethyloctane 0.2471 0.2602 0.2857 227.657 0.9083 -0.0024687 3.2829e-06 
3,5-dimethyl-3-ethyloctane 0.2467 0.2578 0.2857 213.49 0.978 -0.0025872 3.3009e-06 
2,6-dimethyl-3-ethyloctane 0.2471 0.2606 0.2857 229.708 0.8929 -0.0024127 3.2024e-06 
2,4-dimethyl-3-ethyloctane 0.2471 0.2582 0.2857 228.563 0.9017 -0.0024394 3.2365e-06 
2,7-dimethyl-3-ethyloctane 0.2471 0.2628 0.2857 230.152 0.8894 -0.002405 3.1954e-06 
2,4-dimethyl-3-isopropylheptane 0.2492 0.259 0.2857 233.473 0.8317 -0.0022659 3.0968e-06 
2,2-dimethyl-3-isopropylheptane 0.2489 0.2611 0.2857 219.944 0.8975 -0.0023906 3.1418e-06 
2,5-dimethyl-3-isopropylheptane 0.2492 0.2611 0.2857 233.226 0.8334 -0.0022769 3.1169e-06 
2,6-dimethyl-3-isopropylheptane 0.2492 0.2645 0.2857 235.169 0.8187 -0.0022289 3.0513e-06 
2,3-dimethyl-3-isopropylheptane 0.2489 0.2548 0.2857 223.773 0.8688 -0.0022734 2.9643e-06 
2,2-dimethyl-3-tert-butylhexane 0.2507 0.2583 0.2857 217.501 0.8485 -0.0021779 2.8118e-06 
2,2-dimethyl-4,4-diethylhexane 0.2485 0.2551 0.2857 210.11 0.9349 -0.002397 3.0085e-06 
2,3-dimethyl-4,4-diethylhexane 0.2489 0.2504 0.2857 223.472 0.8712 -0.0022721 2.9548e-06 
3,3-dimethyl-4,4-diethylhexane 0.2485 0.2456 0.2857 211.784 0.9218 -0.0023313 2.9043e-06 
2,5-dimethyl-4-ethyloctane 0.2471 0.26 0.2857 226.298 0.9185 -0.0025063 3.3373e-06 
2,4-dimethyl-4-ethyloctane 0.2467 0.2596 0.2857 210.901 0.9978 -0.002662 3.4078e-06 
2,6-dimethyl-4-ethyloctane 0.2471 0.2622 0.2857 226.049 0.9203 -0.002518 3.3584e-06 
2,3-dimethyl-4-ethyloctane 0.2471 0.2582 0.2857 228.582 0.9015 -0.0024389 3.2359e-06 
2,7-dimethyl-4-ethyloctane 0.2471 0.2647 0.2857 227.245 0.9111 -0.0024897 3.322e-06 
3,6-dimethyl-4-ethyloctane 0.2471 0.2581 0.2857 227.905 0.9066 -0.0024574 3.2626e-06 
4,5-dimethyl-4-ethyloctane 0.2467 0.2534 0.2857 213.944 0.9744 -0.0025643 3.2614e-06 
3,4-dimethyl-4-ethyloctane 0.2467 0.2535 0.2857 214.669 0.969 -0.0025452 3.2351e-06 
3,5-dimethyl-4-ethyloctane 0.2471 0.2558 0.2857 227.404 0.9105 -0.0024664 3.2712e-06 
2,2-dimethyl-4-ethyloctane 0.2467 0.264 0.2857 210.353 1.0024 -0.0026886 3.4528e-06 
3,3-dimethyl-4-ethyloctane 0.2467 0.2556 0.2857 213.702 0.9763 -0.002576 3.2814e-06 
3,5-dimethyl-4-isopropylheptane 0.2492 0.257 0.2857 233.726 0.83 -0.002255 3.0767e-06 
2,3-dimethyl-4-isopropylheptane 0.2492 0.259 0.2857 233.473 0.8317 -0.0022659 3.0968e-06 
2,4-dimethyl-4-isopropylheptane 0.2489 0.2587 0.2857 220.032 0.8968 -0.0023824 3.126e-06 
2,5-dimethyl-4-isopropylheptane 0.2492 0.2613 0.2857 232.744 0.837 -0.0022909 3.1384e-06 
3,3-dimethyl-4-isopropylheptane 0.2489 0.2566 0.2857 220.323 0.8945 -0.0023699 3.1046e-06 
2,6-dimethyl-4-isopropylheptane 0.2492 0.2651 0.2857 230.907 0.8505 -0.0023513 3.236e-06 
3,4-dimethyl-4-isopropylheptane 0.2489 0.2525 0.2857 222.666 0.8771 -0.0022978 2.995e-06 
2,2-dimethyl-4-isopropylheptane 0.2489 0.265 0.2857 216.575 0.9234 -0.0024934 3.2955e-06 
3,3-dimethyl-4-propylheptane 0.2467 0.2554 0.2857 212.204 0.9877 -0.0026158 3.3362e-06 
2,5-dimethyl-4-propylheptane 0.2471 0.2599 0.2857 224.919 0.929 -0.0025447 3.3929e-06 
2,3-dimethyl-4-propylheptane 0.2471 0.2578 0.2857 226.476 0.9173 -0.0024964 3.3186e-06 
2,2-dimethyl-4-propylheptane 0.2467 0.2638 0.2857 207.987 1.0207 -0.0027536 3.5427e-06 
2,6-dimethyl-4-propylheptane 0.2471 0.2655 0.2857 224.139 0.9347 -0.0025799 3.455e-06 
3,4-dimethyl-4-propylheptane 0.2467 0.253 0.2857 212.33 0.9867 -0.0026065 3.319e-06 
3,5-dimethyl-4-propylheptane 0.2471 0.2557 0.2857 226.76 0.9154 -0.0024842 3.297e-06 
2,4-dimethyl-4-propylheptane 0.2467 0.2593 0.2857 209.279 1.0103 -0.0027057 3.468e-06 
3,5-dimethyl-5-ethyloctane 0.2467 0.2571 0.2857 208.805 1.0138 -0.0027128 3.4738e-06 
4,4-dimethyl-5-ethyloctane 0.2467 0.2554 0.2857 212.204 0.9877 -0.0026158 3.3362e-06 
3,3-dimethyl-5-ethyloctane 0.2467 0.2596 0.2857 210.901 0.9978 -0.002662 3.4078e-06 
2,5-dimethyl-5-ethyloctane 0.2467 0.2599 0.2857 212.476 0.9858 -0.0026198 3.3498e-06 
2,2-dimethyl-5-ethyloctane 0.2467 0.2642 0.2857 211.929 0.9902 -0.0026459 3.3938e-06 
2,3-dimethyl-5-ethyloctane 0.2471 0.2602 0.2857 227.657 0.9083 -0.0024687 3.2829e-06 
2,6-dimethyl-5-ethyloctane 0.2471 0.2604 0.2857 228.359 0.903 -0.0024495 3.2554e-06 
2,4-dimethyl-5-ethyloctane 0.2471 0.2602 0.2857 227.01 0.9131 -0.0024867 3.309e-06 
3,4-dimethyl-5-ethyloctane 0.2471 0.2559 0.2857 228.359 0.903 -0.0024495 3.2554e-06 
3,3-dimethyl-6-ethyloctane 0.2467 0.2602 0.2857 214.759 0.9684 -0.002559 3.2661e-06 
2,4-dimethyl-6-ethyloctane 0.2471 0.2624 0.2857 227.437 0.9098 -0.0024795 3.3028e-06 
3,4-dimethyl-6-ethyloctane 0.2471 0.2583 0.2857 229.236 0.8966 -0.0024211 3.2102e-06 
4,4-dimethyl-6-ethyloctane 0.2467 0.2596 0.2857 210.901 0.9978 -0.002662 3.4078e-06 
3,5-dimethyl-6-ethyloctane 0.2471 0.2582 0.2857 228.563 0.9017 -0.0024394 3.2365e-06 
2,2-dimethyl-6-ethyloctane 0.2467 0.2646 0.2857 214.983 0.9669 -0.0025639 3.2806e-06 
2,5-dimethyl-6-ethyloctane 0.2471 0.2606 0.2857 229.727 0.8928 -0.0024123 3.2018e-06 
2,6-dimethyl-6-ethyloctane 0.2467 0.2604 0.2857 216.251 0.9571 -0.0025196 3.2119e-06 
2,3-dimethyl-6-ethyloctane 0.2471 0.2608 0.2857 231.037 0.883 -0.0023768 3.1506e-06 
4,6-dimethyldecane 0.2449 0.2617 0.2857 222.433 0.9801 -0.0026457 3.422e-06 
4,7-dimethyldecane 0.2449 0.2618 0.2857 223.153 0.9747 -0.0026261 3.3945e-06 
5,5-dimethyldecane 0.2446 0.2613 0.2857 206.179 1.0648 -0.0028129 3.5012e-06 
2,9-dimethyldecane 0.2449 0.2671 0.2857 229.182 0.9293 -0.0024749 3.1911e-06 
2,2-dimethyldecane 0.2446 0.2665 0.2857 212.148 1.0196 -0.0026684 3.3156e-06 
2,3-dimethyldecane 0.2449 0.2625 0.2857 228.195 0.937 -0.002492 3.2069e-06 
5,6-dimethyldecane 0.2449 0.2597 0.2857 223.42 0.9728 -0.0026143 3.3738e-06 
2,5-dimethyldecane 0.2449 0.264 0.2857 223.592 0.9712 -0.002619 3.3885e-06 
2,6-dimethyldecane 0.2449 0.2639 0.2857 223.57 0.9714 -0.0026195 3.3892e-06 
2,4-dimethyldecane 0.2449 0.2657 0.2857 225.818 0.9544 -0.0025622 3.3116e-06 
2,8-dimethyldecane 0.2449 0.2646 0.2857 227.968 0.9385 -0.0025024 3.2254e-06 
4,5-dimethyldecane 0.2449 0.2598 0.2857 224.151 0.9673 -0.0025947 3.3464e-06 
3,3-dimethyldecane 0.2446 0.2619 0.2857 211.074 1.0276 -0.0026851 3.3302e-06 
3,4-dimethyldecane 0.2449 0.26 0.2857 226.292 0.9513 -0.0025377 3.2666e-06 
3,5-dimethyldecane 0.2449 0.2619 0.2857 223.89 0.9691 -0.0026063 3.3668e-06 
3,6-dimethyldecane 0.2449 0.262 0.2857 224.642 0.9635 -0.0025863 3.3388e-06 
3,7-dimethyldecane 0.2449 0.2621 0.2857 225.346 0.9582 -0.0025674 3.3123e-06 
3,8-dimethyldecane 0.2449 0.2624 0.2857 227.49 0.9422 -0.0025106 3.2328e-06 
4,4-dimethyldecane 0.2446 0.2615 0.2857 207.845 1.0521 -0.0027691 3.4426e-06 
2,7-dimethyldecane 0.2449 0.2645 0.2857 226.588 0.9487 -0.0025391 3.2769e-06 
4-ethyl-4-isopropylheptane 0.2467 0.2511 0.2857 212.675 0.984 -0.0025924 3.296e-06 
3-ethyl-4-isopropylheptane 0.2471 0.2556 0.2857 226.033 0.9208 -0.0025041 3.3254e-06 
4-ethyl-4-propylheptane 0.2446 0.2529 0.2857 201.131 1.1031 -0.0029247 3.6361e-06 
3-ethyl-4-propylheptane 0.2449 0.2542 0.2857 216.993 1.0218 -0.0027783 3.5942e-06 
4-ethyldecane 0.2428 0.2587 0.2857 215.334 1.0658 -0.0028523 3.5842e-06 
3-ethyldecane 0.2428 0.2567 0.2857 217.708 1.0481 -0.0027845 3.4875e-06 
5-ethyldecane 0.2428 0.2585 0.2857 213.723 1.0781 -0.0028954 3.6429e-06 
2,3,3,4,4,5-hexamethylhexane 0.2529 0.2526 0.2857 227.432 0.7434 -0.0018648 2.4544e-06 
2,2,3,3,4,4-hexamethylhexane 0.2525 0.2485 0.2857 205.261 0.6647 -0.0016253 2.1374e-06 
2,2,3,3,4,5-hexamethylhexane 0.2529 0.2571 0.2857 225.637 0.7564 -0.0019194 2.5388e-06 
2,2,3,4,4,5-hexamethylhexane 0.2529 0.2556 0.2857 228.681 0.7344 -0.0018391 2.4218e-06 
2,2,3,3,5,5-hexamethylhexane 0.2525 0.2619 0.2857 214.321 0.8073 -0.0020182 2.5755e-06 
2,2,3,4,5,5-hexamethylhexane 0.2529 0.2613 0.2857 222.543 0.7794 -0.0020093 2.6741e-06 
5-isopropylnonane 0.2449 0.2595 0.2857 221.28 0.9889 -0.0026723 3.4554e-06 
4-isopropylnonane 0.2449 0.2594 0.2857 221.193 0.9896 -0.0026743 3.4579e-06 
2-methyl-3,3-diethylheptane 0.2467 0.2512 0.2857 214.832 0.9677 -0.0025355 3.2177e-06 
4-methyl-3,3-diethylheptane 0.2467 0.249 0.2857 214.965 0.9668 -0.0025266 3.2013e-06 
3-methyl-3,4-diethylheptane 0.2467 0.2513 0.2857 213.468 0.978 -0.0025717 3.2677e-06 
2-methyl-3,4-diethylheptane 0.2471 0.2556 0.2857 226.033 0.9208 -0.0025041 3.3254e-06 
4-methyl-3,4-diethylheptane 0.2467 0.2513 0.2857 213.468 0.978 -0.0025717 3.2677e-06 
2-methyl-3,5-diethylheptane 0.2471 0.258 0.2857 227.203 0.9119 -0.0024766 3.2901e-06 
3-methyl-3,5-diethylheptane 0.2467 0.2556 0.2857 213.009 0.9816 -0.0025946 3.3072e-06 
4-methyl-3,5-diethylheptane 0.2471 0.2537 0.2857 228.287 0.9041 -0.0024379 3.226e-06 
2-methyl-3-ethyl-3-isopropylhexane 0.2467 0.2466 0.2857 210.193 1.0027 -0.0026476 3.3638e-06 
5-methyl-3-ethylnonane 0.2449 0.2595 0.2857 221.941 0.984 -0.0026541 3.4295e-06 
3-methyl-3-ethylnonane 0.2446 0.2573 0.2857 209.177 1.0418 -0.0027231 3.3729e-06 
2-methyl-3-ethylnonane 0.2449 0.2595 0.2857 223.334 0.9735 -0.0026162 3.3762e-06 
4-methyl-3-ethylnonane 0.2449 0.257 0.2857 221.31 0.9889 -0.0026657 3.441e-06 
2-methyl-3-isopropyloctane 0.2471 0.2605 0.2857 229.036 0.8979 -0.002431 3.2287e-06 
2-methyl-4,4-diethylheptane 0.2467 0.2554 0.2857 210.791 0.9985 -0.0026541 3.3893e-06 
3-methyl-4,4-diethylheptane 0.2467 0.2492 0.2857 214.39 0.9711 -0.0025422 3.2232e-06 
2-methyl-4,5-diethylheptane 0.2471 0.2576 0.2857 225.744 0.9229 -0.0025165 3.3474e-06 
3-methyl-4,5-diethylheptane 0.2471 0.2534 0.2857 226.858 0.9148 -0.0024765 3.2812e-06 
2-methyl-4-ethyl-3-isopropylhexane 0.2471 0.253 0.2857 221.518 0.9553 -0.0026257 3.4972e-06 
3-methyl-4-ethylnonane 0.2449 0.2573 0.2857 222.16 0.9825 -0.0026432 3.4099e-06 
5-methyl-4-ethylnonane 0.2449 0.2571 0.2857 220.69 0.9936 -0.002683 3.4657e-06 
4-methyl-4-ethylnonane 0.2446 0.2568 0.2857 205.078 1.073 -0.00283 3.516e-06 
2-methyl-4-ethylnonane 0.2449 0.2619 0.2857 222.521 0.9794 -0.0026436 3.4195e-06 
2-methyl-4-isopropyloctane 0.2521 0.2672 0.29 226.069 0.9201 -0.0025175 3.3577e-06 
4-methyl-4-isopropyloctane 0.2331 0.2427 0.2687 213.723 0.9762 -0.0025755 3.2809e-06 
3-methyl-4-isopropyloctane 0.2547 0.2662 0.2944 227.203 0.9119 -0.0024766 3.2901e-06 
4-methyl-4-propyloctane 0.2446 0.2564 0.2857 201.683 1.0991 -0.0029199 3.6365e-06 
2-methyl-4-propyloctane 0.2449 0.2609 0.2857 217.058 1.0211 -0.0027929 3.6286e-06 
3-methyl-4-propyloctane 0.2449 0.2569 0.2857 219.176 1.0051 -0.0027242 3.5234e-06 
4-methyl-4-tert-butylheptane 0.2485 0.2543 0.2857 208.347 0.9481 -0.0024409 3.0668e-06 
2-methyl-4-tert-butylheptane 0.2489 0.2626 0.2857 217.422 0.9167 -0.0024639 3.2491e-06 
3-methyl-4-tert-butylheptane 0.2489 0.2587 0.2857 218.759 0.9064 -0.0024173 3.1758e-06 
2-methyl-5,5-diethylheptane 0.2467 0.2554 0.2857 213.596 0.9771 -0.0025784 3.2843e-06 
3-methyl-5,5-diethylheptane 0.2467 0.2532 0.2857 213.13 0.9806 -0.0025855 3.2903e-06 
3-methyl-5-ethylnonane 0.2449 0.2593 0.2857 219.069 1.0057 -0.0027329 3.5405e-06 
2-methyl-5-ethylnonane 0.2449 0.2615 0.2857 220.933 0.9915 -0.0026864 3.4791e-06 
4-methyl-5-ethylnonane 0.2449 0.257 0.2857 219.914 0.9994 -0.002704 3.495e-06 
5-methyl-5-ethylnonane 0.2446 0.2567 0.2857 204.257 1.0793 -0.0028517 3.5451e-06 
4-methyl-5-isopropyloctane 0.2471 0.2579 0.2857 226.535 0.9169 -0.002495 3.3168e-06 
3-methyl-5-isopropyloctane 0.2471 0.26 0.2857 226.298 0.9185 -0.0025063 3.3373e-06 
2-methyl-5-isopropyloctane 0.2471 0.2623 0.2857 226.746 0.915 -0.0024986 3.3304e-06 
4-methyl-5-propyloctane 0.2449 0.2568 0.2857 218.432 1.0107 -0.0027446 3.5521e-06 
3-methyl-5-propyloctane 0.2449 0.2549 0.2857 215.935 1.0299 -0.0028095 3.6398e-06 
2-methyl-5-propyloctane 0.2449 0.2614 0.2857 217.307 1.0192 -0.002787 3.6212e-06 
2-methyl-6-ethylnonane 0.2458 0.2634 0.2866 222.433 0.9801 -0.0026457 3.422e-06 
4-methyl-6-ethylnonane 0.2442 0.2593 0.2862 219.68 1.0011 -0.0027155 3.5156e-06 
3-methyl-6-ethylnonane 0.2445 0.2599 0.2863 221.941 0.984 -0.0026541 3.4295e-06 
2-methyl-7-ethylnonane 0.2489 0.2662 0.2896 225.346 0.9582 -0.0025674 3.3123e-06 
3-methyl-7-ethylnonane 0.2449 0.2593 0.2857 222.533 0.9795 -0.0026375 3.4058e-06 
4-methyl-7-ethylnonane 0.2392 0.2542 0.2801 222.662 0.9785 -0.0026346 3.4021e-06 
5-methylundecane 0.2428 0.2612 0.2857 218.283 1.0434 -0.0027795 3.4895e-06 
6-methylundecane 0.2428 0.2612 0.2857 218.307 1.0433 -0.002779 3.4888e-06 
4-methylundecane 0.2428 0.2617 0.2857 220.727 1.0251 -0.0027159 3.4033e-06 
3-methylundecane 0.2428 0.2615 0.2857 218.359 1.042 -0.0027484 3.4162e-06 
2-methylundecane 0.2428 0.2642 0.2857 213.729 1.0747 -0.0028164 3.4514e-06 
2,2,3,4,4-pentamethyl-3-ethylpentane 0.2525 0.2471 0.2857 218.407 0.7758 -0.0018838 2.3725e-06 
2,2,4,6,6-pentamethylheptane 0.2507 0.2718 0.2857 216.003 0.8619 -0.0022844 3.0216e-06 
2,2,4,4,6-pentamethylheptane 0.2507 0.2668 0.2857 214.975 0.8683 -0.0022651 2.9464e-06 
2,2,4,4,5-pentamethylheptane 0.2507 0.2607 0.2857 218.619 0.8403 -0.0021542 2.7823e-06 
2,2,3,4,4-pentamethylheptane 0.2507 0.2563 0.2857 220.142 0.8288 -0.002105 2.7071e-06 
2,2,3,3,6-pentamethylheptane 0.2507 0.2622 0.2857 217.472 0.849 -0.0021876 2.8312e-06 
2,2,3,3,4-pentamethylheptane 0.2507 0.2555 0.2857 218.608 0.8401 -0.0021428 2.7586e-06 
2,2,4,5,6-pentamethylheptane 0.2511 0.2668 0.2857 227.106 0.8114 -0.0021681 2.9371e-06 
2,2,3,3,5-pentamethylheptane 0.2507 0.26 0.2857 217.039 0.852 -0.0021937 2.8364e-06 
2,2,4,5,5-pentamethylheptane 0.2507 0.2642 0.2857 213.995 0.8754 -0.0022848 2.9703e-06 
2,3,4,5,6-pentamethylheptane 0.2514 0.2608 0.2857 242.148 0.7342 -0.0019791 2.7742e-06 
2,2,3,5,6-pentamethylheptane 0.2511 0.2646 0.2857 228.336 0.8022 -0.0021296 2.877e-06 
2,3,3,4,6-pentamethylheptane 0.2511 0.2605 0.2857 230.03 0.7898 -0.0020753 2.7907e-06 
2,2,3,6,6-pentamethylheptane 0.2507 0.269 0.2857 215.659 0.8633 -0.0022524 2.9319e-06 
2,3,3,4,5-pentamethylheptane 0.2511 0.2559 0.2857 230.793 0.7843 -0.002046 2.7406e-06 
2,3,3,4,4-pentamethylheptane 0.2507 0.2534 0.2857 219.386 0.8342 -0.002118 2.7209e-06 
2,2,5,5,6-pentamethylheptane 0.2369 0.251 0.2713 214.988 0.8681 -0.0022634 2.9433e-06 
2,3,3,5,6-pentamethylheptane 0.2388 0.2489 0.2736 229.163 0.7961 -0.0021024 2.8334e-06 
2,3,4,4,5-pentamethylheptane 0.2491 0.2533 0.282 230.793 0.7843 -0.002046 2.7406e-06 
2,2,3,5,5-pentamethylheptane 0.2389 0.2511 0.2727 214.53 0.8713 -0.0022699 2.949e-06 
2,3,4,4,6-pentamethylheptane 0.2354 0.2451 0.2692 228.05 0.8043 -0.0021327 2.8779e-06 
2,3,4,5,5-pentamethylheptane 0.2445 0.251 0.278 230.096 0.7893 -0.0020687 2.7773e-06 
2,3,3,5,5-pentamethylheptane 0.2393 0.2469 0.276 220.061 0.8295 -0.0021123 2.7208e-06 
2,4,4,5,5-pentamethylheptane 0.2401 0.2459 0.2737 217.13 0.8512 -0.0021857 2.8216e-06 
3,3,4,4,5-pentamethylheptane 0.236 0.2367 0.2701 220.161 0.8285 -0.0020937 2.684e-06 
3,3,4,5,5-pentamethylheptane 0.2368 0.2392 0.2719 222.302 0.8129 -0.0020416 2.6128e-06 
2,2,3,4,5-pentamethylheptane 0.24 0.249 0.2736 229.397 0.7944 -0.0020919 2.8148e-06 
2,2,3,4,6-pentamethylheptane 0.2373 0.2502 0.271 227.814 0.8061 -0.0021435 2.8972e-06 
5-propylnonane 0.2317 0.2472 0.2727 209.596 1.1097 -0.003007 3.7954e-06 
4-propylnonane 0.2181 0.2322 0.2587 211.198 1.0974 -0.0029632 3.7353e-06 
4-tert-butyloctane 0.2467 0.2596 0.2857 210.901 0.9978 -0.002662 3.4078e-06 
2,2,4,4-tetramethyl-3-ethylhexane 0.2507 0.2536 0.2857 217.704 0.8467 -0.0021618 2.7823e-06 
2,2,3,5-tetramethyl-3-ethylhexane 0.2507 0.2576 0.2857 215.91 0.8603 -0.0022177 2.8663e-06 
2,3,4,5-tetramethyl-3-ethylhexane 0.2511 0.2537 0.2857 230.422 0.7871 -0.0020517 2.7455e-06 
2,3,4,4-tetramethyl-3-ethylhexane 0.2507 0.2491 0.2857 220.274 0.8276 -0.0020861 2.67e-06 
2,2,5,5-tetramethyl-3-ethylhexane 0.2507 0.2659 0.2857 210.907 0.8994 -0.0023733 3.0972e-06 
