ch_Species Ap Bp Cp Dp Ep Ah nh
3-methyloctane 9.8147 -2960.9 1.9061 -0.015675 9.7961e-06 59.28 0.397 
4-methyloctane 11.201 -2946.7 1.2133 -0.014423 9.177e-06 58.567 0.392 
2,2,3,3-tetramethylpentane 35.422 -3276 -9.5678 9.0298e-10 2.4355e-06 53.924 0.396 
2,2,3,4-tetramethylpentane 52.344 -3647.7 -16.608 0.0069991 -5.101e-14 55.257 0.414 
2,3,3,4-tetramethylpentane 65.988 -4067.2 -22.199 0.012445 -2.0351e-06 54.038 0.38 
2,2,4,4-tetramethylpentane -3.8184 -2244.2 7.0671 -0.019644 1.1435e-05 50.787 0.378 
2,2,5-trimethylhexane 7.8816 -2642.2 2.3902 -0.015376 9.7931e-06 54.045 0.396 
2,2,3-trimethylhexane 39.802 -3450.8 -11.093 4.0116e-06 3.0574e-06 54.376 0.38 
2,3,5-trimethylhexane 48.359 -3709.1 -14.491 0.0026885 2.3246e-06 54.893 0.38 
3,3,4-trimethylhexane 37.9231 -3398.3 -10.438 1.0394e-09 2.8419e-06 54.63 0.38 
2,3,4-trimethylhexane 40.0582 -3493.5 -11.1797 3.183e-09 3.1457e-06 55.928 0.38 
2,4,4-trimethylhexane 38.5267 -3341.3 -10.6981 4.6668e-09 3.1273e-06 53.835 0.38 
2,3,3-trimethylhexane 20.091 -2469.9 -4.3621 -1.1907e-10 1.2454e-06 54.541 0.38 
2,2,4-trimethylhexane 39.9247 -3419.39 -11.1298 -8.7936e-10 3.0426e-06 53.542 0.38 
3,3-dimethyloctane 54.908 -4210.3 -16.83 0.0039908 1.7435e-06 60.176 0.38 
4,5-dimethyloctane 76.038 -4782.8 -25.49 0.012197 -1.1443e-06 60.689 0.38 
3,6-dimethyloctane 49.328 -4133.5 -14.367 0.00090414 3.057e-06 61.216 0.38 
3,5-dimethyloctane 67.078 -4553.8 -21.748 0.0082992 3.6514e-07 60.682 0.38 
4,4-dimethyloctane 52.748 -4111.2 -15.989 0.0033029 2.0078e-06 59.573 0.38 
3,4-dimethyloctane 68.121 -4601.9 -22.192 0.0088808 5.5663e-08 60.957 0.38 
2,6-dimethyloctane 18.28 -2795.6 -3.3942 0 0 61.868 0.38 
2,5-dimethyloctane 60.245 -4404.7 -18.847 0.005092 1.6422e-06 61.011 0.38 
2,3-dimethyloctane 66.639 -4601.4 -21.496 0.007842 5.1865e-07 61.42 0.38 
2,2-dimethyloctane 3.7585 -2748.6 3.8574 -0.014111 7.6942e-06 59.81 0.38 
2,4-dimethyloctane 35.5 -3763.6 -8.6134 -0.0050412 5.3779e-06 61.008 0.38 
3-ethyl-2,2,3-trimethylpentane 74.566 -4532.9 -25.472 0.0147 -2.8218e-06 56.606 0.38 
3-ethyl-2,2,4-trimethylpentane 61.187 -4160.7 -19.836 0.0085615 -3.1058e-07 56.859 0.38 
4-ethyl-2,2-dimethylhexane 19.542 -3158.4 -2.3512 -0.0099985 6.9575e-06 57.741 0.38 
3-ethyl-2,2-dimethylhexane 51.39 -3979 -15.644 0.0038686 1.5493e-06 58.11 0.38 
3-ethyl-2,3,4-trimethylpentane 83.535 -4812.6 -29.052 0.017675 -3.744e-06 57.72 0.38 
4-ethyl-2,3-dimethylhexane 75.069 -4660.9 -25.306 0.012913 -1.65e-06 59.078 0.38 
3-ethyl-2,3-dimethylhexane 69.764 -4484.8 -23.261 0.011587 -1.3978e-06 58.551 0.38 
4-ethyl-2,4-dimethylhexane 99.899 -5267.3 -35.632 0.023335 -5.4868e-06 58.531 0.38 
3-ethyl-2,4-dimethylhexane 77.065 -4699.1 -26.148 0.0138 -1.9752e-06 58.95 0.38 
3-ethyl-2,5-dimethylhexane 64.491 -4365.5 -20.893 0.0082671 2.0753e-07 58.777 0.38 
4-ethyl-2-methylheptane 76.397 -4745.8 -25.661 0.012347 -1.1103e-06 60.077 0.38 
5-ethyl-2-methylheptane 70.56 -4643.6 -23.186 0.0097061 -1.44e-07 60.684 0.38 
3-ethyl-2-methylheptane 71.07 -4640.6 -23.462 0.010298 -4.7207e-07 60.488 0.38 
4-ethyl-3,3-dimethylhexane 64.646 -4341.5 -21.165 0.0096098 -7e-07 58.414 0.38 
3-ethyl-3,4-dimethylhexane 66.286 -4371.2 -21.859 0.010342 -9.6623e-07 58.222 0.38 
4-ethyl-3-methylheptane 83.593 -4939.8 -28.698 0.015712 -2.5128e-06 60.171 0.38 
3-ethyl-3-methylheptane 67.26 -4489.2 -22.061 0.0097119 -5.1833e-07 59.665 0.38 
3-ethyl-4-methylheptane 80.994 -4885.9 -27.607 0.014585 -2.1028e-06 60.299 0.38 
4-ethyl-4-methylheptane 68.549 -4490.2 -22.63 0.010382 -7.5401e-07 59.337 0.38 
3-ethyl-5-methylheptane 50.735 -4109 -15.062 0.0020425 2.5513e-06 60.428 0.38 
4-ethyloctane 87.273 -5136.9 -29.989 0.016016 -2.3588e-06 62.818 0.38 
3-ethyloctane 81.394 -5035.5 -27.491 0.013341 -1.3742e-06 63.361 0.38 
3-isopropyl-2-methylhexane 165.09 -6976.8 -62.423 0.048743 -1.4382e-05 58.263 0.38 
4-isopropylheptane 80.047 -4837.7 -27.213 0.01411 -1.854e-06 60.025 0.38 
3-methylnonane 64.652 -4564.4 -20.802 0.0081382 -3.4025e-14 66.226 0.435 
2-methylnonane 56.813 -4602.2 -16.769 -1.5533e-10 4.4072e-06 65.666 0.425 
4-methylnonane 12.449 -3091.8 0.421 -0.011259 6.7772e-06 62.016 0.375 
5-methylnonane 3.7845 -3221.7 5.2149 -0.0225 1.3173e-05 65.682 0.432 
2,2,3,4,4-pentamethylpentane 96.01 -4963.7 -34.432 0.023655 -5.9877e-06 55.067 0.38 
2,2,3,3,4-pentamethylpentane 60.019 -4108.4 -19.55 0.009248 -9.4842e-07 56.208 0.38 
4-propylheptane 51.717 -4186.6 -15.336 0.0017503 2.8445e-06 61.543 0.38 
2,2,4,5-tetramethylhexane 44.331 -3742.2 -12.716 0.00070194 2.8949e-06 56.845 0.38 
2,2,4,4-tetramethylhexane 120.05 -5576.4 -44.295 0.032983 -9.2e-06 55.382 0.38 
2,2,3,3-tetramethylhexane 110.52 -5453 -40.21 0.028578 -7.562e-06 57.149 0.38 
2,2,3,4-tetramethylhexane 64.641 -4283.7 -21.222 0.0097824 -7.4964e-07 57.248 0.38 
3,3,4,4-tetramethylhexane 70.983 -4451.2 -23.98 0.013216 -2.2933e-06 54.337 0.38 
2,3,4,4-tetramethylhexane 62.652 -4244.9 -20.417 0.0091248 -5.844e-07 57.469 0.38 
2,3,3,5-tetramethylhexane 39.564 -3638.6 -10.8 -0.00078227 3.2261e-06 57.223 0.38 
2,3,3,4-tetramethylhexane 56.257 -4099.4 -17.787 0.0066874 2.1253e-07 57.823 0.38 
2,3,4,5-tetramethylhexane 40.465 -3728.9 -11.065 -0.00088788 3.3247e-06 58.26 0.38 
2,2,5,5-tetramethylhexane 15.164 -2983.7 -0.5218 -0.012202 8.0498e-06 56.183 0.38 
2,2,3,5-tetramethylhexane 11.059 -2927.2 1.0937 -0.013086 7.9386e-06 57.332 0.38 
2,3,5-trimethylheptane 92.767 -5140.9 -32.519 0.019489 -3.87e-06 59.314 0.38 
2,4,5-trimethylheptane 58.355 -4244.8 -18.307 0.0055537 1.2052e-06 59.244 0.38 
3,4,5-trimethylheptane 108.39 -5554.8 -38.975 0.025878 -6.1851e-06 60.012 0.38 
3,4,4-trimethylheptane 57.36 -4165.2 -18.105 0.0063641 5.6007e-07 58.531 0.38 
3,3,5-trimethylheptane 43.0217 -3774.1 -12.1313 2.3027e-09 3.2271e-06 58.182 0.38 
3,3,4-trimethylheptane 41.5309 -3762.1 -11.5778 2.6746e-08 2.8778e-06 58.726 0.38 
2,3,3-trimethylheptane 42.5554 -3808.2 -11.9258 4.3807e-09 2.9717e-06 58.909 0.38 
2,4,6-trimethylheptane 47.0597 -3973 -13.4729 1.4007e-09 3.4768e-06 59.285 0.38 
2,4,4-trimethylheptane 35.7925 -3477.77 -9.5437 3.3736e-11 2.0536e-06 57.938 0.38 
2,3,6-trimethylheptane 46.06 -3971.6 -13.1204 8.0749e-10 3.3402e-06 59.769 0.38 
2,3,4-trimethylheptane 43.83 -3870.9 -12.3664 2.3739e-09 3.1586e-06 59.4 0.38 
2,2,6-trimethylheptane 42.9149 -3785 -12.0433 3.8562e-09 3.0975e-06 58.901 0.38 
2,2,5-trimethylheptane 58.7356 -4701.67 -17.3015 -3.99e-09 3.8749e-06 58.587 0.38 
2,2,3-trimethylheptane 28.4361 -3165.05 -7.0067 -9.9963e-09 1.3193e-06 58.957 0.38 
2,5,5-trimethylheptane 44.1493 -3843.6 -12.4821 2.4861e-09 3.1653e-06 58.6 0.38 
2,2,4-trimethylheptane 44.5087 -3822.2 -12.6277 3.822e-09 3.29e-06 58.183 0.38 
3,3-diethyl-2-methylpentane 72.717 -4574.9 -24.526 0.013099 -2.073e-06 58.718 0.38 
3,3-diethylhexane 72.482 -4600.8 -24.312 0.012372 -1.6299e-06 59.435 0.38 
3,4-diethylhexane 89.699 -5084.6 -31.27 0.018468 -3.5895e-06 59.983 0.38 
2,4-dimethyl-3-isopropylpentane 86.981 -4869.2 -30.383 0.018437 -3.7507e-06 57.466 0.38 
3,4-diethylheptane 25 -3403.7 -5.4996 0 0 65.009 0.38 
3,3-diethylheptane 24.38 -3383.1 -5.3122 0 0 64.998 0.38 
4,4-diethylheptane 24.663 -3357.6 -5.4123 0 0 64.022 0.38 
3,5-diethylheptane 25.045 -3399.8 -5.5154 0 0 64.859 0.38 
2,4-dimethyl-3,3-diethylpentane 23.701 -3304.2 -5.1301 0 0 63.37 0.38 
2,2-dimethyl-3,3-diethylpentane 23.388 -3257.4 -5.0506 0 0 62.371 0.38 
4,4-dimethyl-3-ethylheptane 24.55 -3298.3 -5.4012 0 0 62.436 0.38 
2,4-dimethyl-3-ethylheptane 24.742 -3356.5 -5.4374 0 0 63.886 0.38 
3,4-dimethyl-3-ethylheptane 24.162 -3332.3 -5.2642 0 0 63.748 0.38 
3,5-dimethyl-3-ethylheptane 24.376 -3313.4 -5.3395 0 0 63.019 0.38 
2,6-dimethyl-3-ethylheptane 24.875 -3345 -5.4845 0 0 63.442 0.38 
2,5-dimethyl-3-ethylheptane 24.875 -3345 -5.4845 0 0 63.442 0.38 
2,3-dimethyl-3-ethylheptane 24.376 -3313.4 -5.3395 0 0 63.019 0.38 
2,2-dimethyl-3-ethylheptane 24.55 -3298.3 -5.4012 0 0 62.436 0.38 
2,4-dimethyl-3-isopropylhexane 24.616 -3298.3 -5.4217 0 0 62.345 0.38 
2,2-dimethyl-3-isopropylhexane 24.424 -3240.8 -5.3854 0 0 60.927 0.38 
2,3-dimethyl-3-isopropylhexane 24.076 -3270.5 -5.2622 0 0 62.076 0.38 
2,5-dimethyl-3-isopropylhexane 24.841 -3279.5 -5.5015 0 0 61.616 0.38 
3,5-dimethyl-4-ethylheptane 24.654 -3364.2 -5.4064 0 0 64.182 0.38 
2,3-dimethyl-4-ethylheptane 24.742 -3356.5 -5.4374 0 0 63.886 0.38 
2,4-dimethyl-4-ethylheptane 24.82 -3275.8 -5.4966 0 0 61.562 0.38 
2,5-dimethyl-4-ethylheptane 24.92 -3341.2 -5.5004 0 0 63.294 0.38 
2,6-dimethyl-4-ethylheptane 25.149 -3322.1 -5.5813 0 0 62.554 0.38 
3,3-dimethyl-4-ethylheptane 24.376 -3313.4 -5.3395 0 0 63.019 0.38 
3,4-dimethyl-4-ethylheptane 24.332 -3317.2 -5.3242 0 0 63.165 0.38 
2,2-dimethyl-4-ethylheptane 24.912 -3268.3 -5.5291 0 0 61.27 0.38 
2,2-dimethyl-5-ethylheptane 24.729 -3283.2 -5.4644 0 0 61.853 0.38 
2,3-dimethyl-5-ethylheptane 24.786 -3352.7 -5.453 0 0 63.738 0.38 
2,4-dimethyl-5-ethylheptane 24.875 -3345 -5.4845 0 0 63.442 0.38 
2,5-dimethyl-5-ethylheptane 24.462 -3305.8 -5.3702 0 0 62.727 0.38 
3,3-dimethyl-5-ethylheptane 24.595 -3294.5 -5.4169 0 0 62.29 0.38 
3,4-dimethyl-5-ethylheptane 24.611 -3368 -5.391 0 0 64.331 0.38 
4,4-dimethylnonane 24.765 -3348.8 -5.4481 0 0 63.681 0.38 
2,5-dimethylnonane 25.045 -3399.8 -5.5154 0 0 64.859 0.38 
3,4-dimethylnonane 24.781 -3423.3 -5.4221 0 0 65.761 0.38 
3,5-dimethylnonane 25 -3403.7 -5.4996 0 0 65.009 0.38 
3,6-dimethylnonane 24.912 -3411.5 -5.4684 0 0 65.31 0.38 
2,6-dimethylnonane 25.045 -3399.8 -5.5154 0 0 64.859 0.38 
3,3-dimethylnonane 24.589 -3364.2 -5.3862 0 0 64.273 0.38 
