ch_Species Ap Bp Cp Dp Ep Ah nh
3,3,4-trimethyl-4-ethylhexane 17.5779 -2897.89 -3.152 -2.6597e-10 -1.8553e-07 62.512 0.38 
2,3,5-trimethyl-4-ethylhexane 42.1286 -4210.13 -11.3841 4.9792e-10 1.5529e-06 62.637 0.38 
2,2,3-trimethyl-4-ethylhexane 30.5202 -3564.12 -7.4717 1.4509e-10 6.1623e-07 61.502 0.38 
2,2,6-trimethyloctane 52.9709 -4517.8 -15.3622 -3.6265e-07 3.6534e-06 62.144 0.38 
2,4,4-trimethyloctane 25.2732 -3248.33 -5.7241 -9.3421e-11 3.3826e-07 61.707 0.38 
2,3,7-trimethyloctane 20.038 -3083.08 -3.8684 -3.1458e-10 -3.0875e-07 63.886 0.38 
2,3,6-trimethyloctane 27.9128 -3435.94 -6.6183 5.8139e-11 6.5284e-07 64.034 0.38 
2,4,5-trimethyloctane 29.6777 -3533.75 -7.1864 8.5314e-11 6.5436e-07 63.442 0.38 
2,2,3-trimethyloctane 23.2169 -3197.72 -5.0021 -1.6574e-10 1.0526e-07 62.873 0.38 
2,3,5-trimethyloctane 27.4816 -3395.7 -6.4678 1.3841e-11 5.5893e-07 63.59 0.38 
2,4,6-trimethyloctane 20.5295 -3056.04 -4.0664 -2.2031e-10 -1.7702e-07 63.146 0.38 
2,2,5-trimethyloctane 35.165 -3773.08 -9.0724 4.0237e-10 1.1295e-06 61.707 0.38 
3,4,4-trimethyloctane 24.332 -3317.2 -5.3242 0 0 63.165 0.38 
2,3,4-trimethyloctane 24.698 -3360.3 -5.4218 0 0 64.034 0.38 
2,3,3-trimethyloctane 24.29 -3320.9 -5.3091 0 0 63.311 0.38 
2,2,4-trimethyloctane 24.752 -3281.4 -5.4724 0 0 61.78 0.38 
3,3,4-trimethyloctane 24.29 -3320.9 -5.3091 0 0 63.311 0.38 
2,2,7-trimethyloctane 24.82 -3275.8 -5.4966 0 0 61.562 0.38 
4,4,5-trimethyloctane 24.376 -3313.4 -5.3395 0 0 63.019 0.38 
3,5,5-trimethyloctane 24.82 -3275.8 -5.4966 0 0 61.562 0.38 
3,4,6-trimethyloctane 24.742 -3356.5 -5.4374 0 0 63.886 0.38 
3,3,5-trimethyloctane 24.639 -3290.7 -5.4326 0 0 62.144 0.38 
3,3,6-trimethyloctane 24.506 -3302 -5.3856 0 0 62.582 0.38 
2,4,7-trimethyloctane 25.102 -3325.9 -5.5649 0 0 62.702 0.38 
2,6,6-trimethyloctane 24.55 -3298.3 -5.4012 0 0 62.436 0.38 
2,5,6-trimethyloctane 24.786 -3352.7 -5.453 0 0 63.738 0.38 
2,5,5-trimethyloctane 24.729 -3283.2 -5.4644 0 0 61.853 0.38 
3,4,5-trimethyloctane 24.654 -3364.2 -5.4064 0 0 64.182 0.38 
4,4-diethyloctane 25.698 -3589.6 -5.6937 0 0 68.366 0.38 
3,3-diethyloctane 25.478 -3608.9 -5.6163 0 0 69.158 0.38 
3,6-diethyloctane 25.936 -3646.6 -5.7458 0 0 69.088 0.38 
3,5-diethyloctane 26.163 -3627.2 -5.8256 0 0 68.292 0.38 
4,5-diethyloctane 26.163 -3627.2 -5.8256 0 0 68.292 0.38 
3,4-diethyloctane 26.072 -3634.9 -5.7934 0 0 68.61 0.38 
2,2-dimethyl,3,3-diethylhexane 24.763 -3451.3 -5.4533 0 0 67.137 0.38 
2,5-dimethyl-3,3-diethylhexane 25.535 -3462.8 -5.6935 0 0 65.982 0.38 
2,4-dimethyl-3,3-diethylhexane 25.088 -3499.8 -5.5365 0 0 67.544 0.38 
2,2-dimethyl-3,4-diethylhexane 25.535 -3462.8 -5.6935 0 0 65.982 0.38 
2,3-dimethyl-3,4-diethylhexane 24.916 -3514.8 -5.4761 0 0 68.169 0.38 
2,4-dimethyl-3,4-diethylhexane 25.088 -3499.8 -5.5365 0 0 67.544 0.38 
2,5-dimethyl-3,4-diethylhexane 25.868 -3511 -5.7793 0 0 66.378 0.38 
3,4-dimethyl-3,4-diethylhexane 24.345 -3488.2 -5.3069 0 0 68.692 0.38 
2,4-dimethyl-3-ethyl-3-isopropylpentane 24.53 -3477.3 -5.3692 0 0 68.064 0.38 
3,4-dimethyl-3-ethyloctane 25.393 -3544.7 -5.6151 0 0 67.955 0.38 
2,2-dimethyl-3-ethyloctane 25.571 -3529.6 -5.6777 0 0 67.326 0.38 
2,3-dimethyl-3-ethyloctane 25.305 -3552.3 -5.5843 0 0 68.27 0.38 
3,6-dimethyl-3-ethyloctane 25.437 -3540.9 -5.6306 0 0 67.798 0.38 
4,4-dimethyl-3-ethyloctane 25.481 -3537.1 -5.6462 0 0 67.641 0.38 
4,5-dimethyl-3-ethyloctane 25.765 -3589.9 -5.7145 0 0 68.202 0.38 
2,5-dimethyl-3-ethyloctane 25.993 -3570.7 -5.7945 0 0 67.412 0.38 
3,5-dimethyl-3-ethyloctane 25.571 -3529.6 -5.6777 0 0 67.326 0.38 
2,6-dimethyl-3-ethyloctane 25.855 -3582.2 -5.7463 0 0 67.886 0.38 
2,4-dimethyl-3-ethyloctane 25.855 -3582.2 -5.7463 0 0 67.886 0.38 
2,7-dimethyl-3-ethyloctane 25.901 -3578.4 -5.7623 0 0 67.728 0.38 
2,4-dimethyl-3-isopropylheptane 25.775 -3518.5 -5.7468 0 0 66.692 0.38 
2,2-dimethyl-3-isopropylheptane 25.535 -3462.8 -5.6935 0 0 65.982 0.38 
2,5-dimethyl-3-isopropylheptane 25.868 -3511 -5.7793 0 0 66.378 0.38 
2,6-dimethyl-3-isopropylheptane 25.831 -3514 -5.7663 0 0 66.504 0.38 
2,3-dimethyl-3-isopropylheptane 25.044 -3503.6 -5.5213 0 0 67.7 0.38 
2,2-dimethyl-3-tert-butylhexane 24.631 -3392.4 -5.4351 0 0 66.106 0.38 
2,2-dimethyl-4,4-diethylhexane 24.763 -3451.3 -5.4533 0 0 67.137 0.38 
2,3-dimethyl-4,4-diethylhexane 24.916 -3514.8 -5.4761 0 0 68.169 0.38 
3,3-dimethyl-4,4-diethylhexane 24.345 -3488.2 -5.3069 0 0 68.692 0.38 
2,5-dimethyl-4-ethyloctane 26.086 -3563.1 -5.8272 0 0 67.095 0.38 
2,4-dimethyl-4-ethyloctane 25.799 -3510.8 -5.7579 0 0 66.541 0.38 
2,6-dimethyl-4-ethyloctane 26.179 -3555.5 -5.8602 0 0 66.78 0.38 
2,3-dimethyl-4-ethyloctane 25.855 -3582.2 -5.7463 0 0 67.886 0.38 
2,7-dimethyl-4-ethyloctane 26.179 -3555.5 -5.8602 0 0 66.78 0.38 
3,6-dimethyl-4-ethyloctane 25.901 -3578.4 -5.7623 0 0 67.728 0.38 
4,5-dimethyl-4-ethyloctane 25.393 -3544.7 -5.6151 0 0 67.955 0.38 
3,4-dimethyl-4-ethyloctane 25.349 -3548.5 -5.5996 0 0 68.113 0.38 
3,5-dimethyl-4-ethyloctane 25.855 -3582.2 -5.7463 0 0 67.886 0.38 
2,2-dimethyl-4-ethyloctane 25.986 -3495.9 -5.8237 0 0 65.913 0.38 
3,3-dimethyl-4-ethyloctane 25.481 -3537.1 -5.6462 0 0 67.641 0.38 
3,5-dimethyl-4-isopropylheptane 25.684 -3526 -5.7145 0 0 67.007 0.38 
2,3-dimethyl-4-isopropylheptane 25.775 -3518.5 -5.7468 0 0 66.692 0.38 
2,4-dimethyl-4-isopropylheptane 25.443 -3470.1 -5.6614 0 0 66.294 0.38 
2,5-dimethyl-4-isopropylheptane 25.914 -3507.3 -5.7957 0 0 66.221 0.38 
3,3-dimethyl-4-isopropylheptane 25.353 -3477.5 -5.6296 0 0 66.606 0.38 
2,6-dimethyl-4-isopropylheptane 26.2 -3485 -5.8963 0 0 65.28 0.38 
3,4-dimethyl-4-isopropylheptane 25.044 -3503.6 -5.5213 0 0 67.7 0.38 
2,2-dimethyl-4-isopropylheptane 25.91 -3433.5 -5.8255 0 0 64.734 0.38 
3,3-dimethyl-4-propylheptane 25.571 -3529.6 -5.6777 0 0 67.326 0.38 
2,5-dimethyl-4-propylheptane 26.179 -3555.5 -5.8602 0 0 66.78 0.38 
2,3-dimethyl-4-propylheptane 25.993 -3570.7 -5.7945 0 0 67.412 0.38 
2,2-dimethyl-4-propylheptane 26.129 -3484.7 -5.8741 0 0 65.442 0.38 
2,6-dimethyl-4-propylheptane 26.438 -3535.1 -5.9512 0 0 65.927 0.38 
3,4-dimethyl-4-propylheptane 25.481 -3537.1 -5.6462 0 0 67.641 0.38 
3,5-dimethyl-4-propylheptane 25.901 -3578.4 -5.7623 0 0 67.728 0.38 
2,4-dimethyl-4-propylheptane 25.892 -3503.3 -5.7906 0 0 66.227 0.38 
3,5-dimethyl-5-ethyloctane 25.845 -3507.1 -5.7742 0 0 66.384 0.38 
4,4-dimethyl-5-ethyloctane 25.571 -3529.6 -5.6777 0 0 67.326 0.38 
3,3-dimethyl-5-ethyloctane 25.799 -3510.8 -5.7579 0 0 66.541 0.38 
2,5-dimethyl-5-ethyloctane 25.707 -3518.3 -5.7255 0 0 66.855 0.38 
2,2-dimethyl-5-ethyloctane 25.892 -3503.3 -5.7906 0 0 66.227 0.38 
2,3-dimethyl-5-ethyloctane 25.993 -3570.7 -5.7945 0 0 67.412 0.38 
2,6-dimethyl-5-ethyloctane 25.947 -3574.6 -5.7784 0 0 67.57 0.38 
2,4-dimethyl-5-ethyloctane 26.039 -3566.9 -5.8108 0 0 67.253 0.38 
3,4-dimethyl-5-ethyloctane 25.81 -3586 -5.7303 0 0 68.044 0.38 
3,3-dimethyl-6-ethyloctane 25.571 -3529.6 -5.6777 0 0 67.326 0.38 
2,4-dimethyl-6-ethyloctane 26.086 -3563.1 -5.8272 0 0 67.095 0.38 
3,4-dimethyl-6-ethyloctane 25.81 -3586 -5.7303 0 0 68.044 0.38 
4,4-dimethyl-6-ethyloctane 25.799 -3510.8 -5.7579 0 0 66.541 0.38 
3,5-dimethyl-6-ethyloctane 25.855 -3582.2 -5.7463 0 0 67.886 0.38 
2,2-dimethyl-6-ethyloctane 25.707 -3518.3 -5.7255 0 0 66.855 0.38 
2,5-dimethyl-6-ethyloctane 25.855 -3582.2 -5.7463 0 0 67.886 0.38 
2,6-dimethyl-6-ethyloctane 25.481 -3537.1 -5.6462 0 0 67.641 0.38 
2,3-dimethyl-6-ethyloctane 25.765 -3589.9 -5.7145 0 0 68.202 0.38 
4,6-dimethyldecane 26.117 -3631 -5.8094 0 0 68.451 0.38 
4,7-dimethyldecane 26.072 -3634.9 -5.7934 0 0 68.61 0.38 
5,5-dimethyldecane 25.833 -3578.1 -5.7411 0 0 67.891 0.38 
2,9-dimethyldecane 25.847 -3654.5 -5.7145 0 0 69.407 0.38 
2,2-dimethyldecane 25.654 -3593.5 -5.678 0 0 68.524 0.38 
2,3-dimethyldecane 25.759 -3662.3 -5.6835 0 0 69.725 0.38 
5,6-dimethyldecane 25.981 -3642.7 -5.7616 0 0 68.929 0.38 
2,5-dimethyldecane 26.117 -3631 -5.8094 0 0 68.451 0.38 
2,6-dimethyldecane 26.117 -3631 -5.8094 0 0 68.451 0.38 
2,4-dimethyldecane 26.026 -3638.8 -5.7774 0 0 68.77 0.38 
2,8-dimethyldecane 25.847 -3654.5 -5.7145 0 0 69.407 0.38 
4,5-dimethyldecane 25.936 -3646.6 -5.7458 0 0 69.088 0.38 
3,3-dimethyldecane 25.565 -3601.2 -5.647 0 0 68.841 0.38 
3,4-dimethyldecane 25.803 -3658.4 -5.6989 0 0 69.566 0.38 
3,5-dimethyldecane 26.026 -3638.8 -5.7774 0 0 68.77 0.38 
3,6-dimethyldecane 25.981 -3642.7 -5.7616 0 0 68.929 0.38 
3,7-dimethyldecane 25.936 -3646.6 -5.7458 0 0 69.088 0.38 
3,8-dimethyldecane 25.803 -3658.4 -5.6989 0 0 69.566 0.38 
4,4-dimethyldecane 25.743 -3585.8 -5.7094 0 0 68.208 0.38 
2,7-dimethyldecane 25.936 -3646.6 -5.7458 0 0 69.088 0.38 
4-ethyl-4-isopropylheptane 25.393 -3544.7 -5.6151 0 0 67.955 0.38 
3-ethyl-4-isopropylheptane 25.947 -3574.6 -5.7784 0 0 67.57 0.38 
4-ethyl-4-propylheptane 25.833 -3578.1 -5.7411 0 0 67.891 0.38 
3-ethyl-4-propylheptane 26.209 -3623.3 -5.8418 0 0 68.133 0.38 
4-ethyldecane 26.15 -3699.8 -5.7922 0 0 69.818 0.38 
3-ethyldecane 25.942 -3718.5 -5.719 0 0 70.571 0.38 
5-ethyldecane 26.24 -3691.9 -5.8239 0 0 69.497 0.38 
2,3,3,4,4,5-hexamethylhexane 23.912 -3384.2 -5.211 0 0 67.231 0.38 
2,2,3,3,4,4-hexamethylhexane 23.207 -3371.8 -4.9946 0 0 68.347 0.38 
2,2,3,3,4,5-hexamethylhexane 24.2 -3359.2 -5.3119 0 0 66.156 0.38 
2,2,3,4,4,5-hexamethylhexane 23.912 -3384.2 -5.211 0 0 67.231 0.38 
2,2,3,3,5,5-hexamethylhexane 24.046 -3297.7 -5.2882 0 0 65.14 0.38 
2,2,3,4,5,5-hexamethylhexane 24.587 -3327.3 -5.4476 0 0 64.776 0.38 
5-isopropylnonane 26.117 -3631 -5.8094 0 0 68.451 0.38 
4-isopropylnonane 26.117 -3631 -5.8094 0 0 68.451 0.38 
2-methyl-3,3-diethylheptane 25.262 -3556.1 -5.569 0 0 68.427 0.38 
4-methyl-3,3-diethylheptane 25.175 -3563.7 -5.5387 0 0 68.742 0.38 
3-methyl-3,4-diethylheptane 25.349 -3548.5 -5.5996 0 0 68.113 0.38 
2-methyl-3,4-diethylheptane 25.947 -3574.6 -5.7784 0 0 67.57 0.38 
4-methyl-3,4-diethylheptane 25.349 -3548.5 -5.5996 0 0 68.113 0.38 
2-methyl-3,5-diethylheptane 25.947 -3574.6 -5.7784 0 0 67.57 0.38 
3-methyl-3,5-diethylheptane 25.526 -3533.3 -5.6619 0 0 67.484 0.38 
4-methyl-3,5-diethylheptane 25.72 -3593.7 -5.6987 0 0 68.36 0.38 
2-methyl-3-ethyl-3-isopropylhexane 25.393 -3544.7 -5.6151 0 0 67.955 0.38 
5-methyl-3-ethylnonane 26.072 -3634.9 -5.7934 0 0 68.61 0.38 
3-methyl-3-ethylnonane 25.521 -3605 -5.6316 0 0 68.999 0.38 
2-methyl-3-ethylnonane 25.981 -3642.7 -5.7616 0 0 68.929 0.38 
4-methyl-3-ethylnonane 26.026 -3638.8 -5.7774 0 0 68.77 0.38 
2-methyl-3-isopropyloctane 25.901 -3578.4 -5.7623 0 0 67.728 0.38 
2-methyl-4,4-diethylheptane 25.661 -3522.1 -5.7095 0 0 67.012 0.38 
3-methyl-4,4-diethylheptane 25.218 -3559.9 -5.5538 0 0 68.585 0.38 
2-methyl-4,5-diethylheptane 26.039 -3566.9 -5.8108 0 0 67.253 0.38 
3-methyl-4,5-diethylheptane 25.81 -3586 -5.7303 0 0 68.044 0.38 
2-methyl-4-ethyl-3-isopropylhexane 26.179 -3555.5 -5.8602 0 0 66.78 0.38 
3-methyl-4-ethylnonane 25.981 -3642.7 -5.7616 0 0 68.929 0.38 
5-methyl-4-ethylnonane 26.072 -3634.9 -5.7934 0 0 68.61 0.38 
4-methyl-4-ethylnonane 25.743 -3585.8 -5.7094 0 0 68.208 0.38 
2-methyl-4-ethylnonane 26.117 -3631 -5.8094 0 0 68.451 0.38 
2-methyl-4-isopropyloctane 26.179 -3555.5 -5.8602 0 0 66.78 0.38 
4-methyl-4-isopropyloctane 25.481 -3537.1 -5.6462 0 0 67.641 0.38 
3-methyl-4-isopropyloctane 25.947 -3574.6 -5.7784 0 0 67.57 0.38 
4-methyl-4-propyloctane 25.924 -3570.5 -5.7732 0 0 67.575 0.38 
2-methyl-4-propyloctane 26.444 -3603.9 -5.9243 0 0 67.338 0.38 
3-methyl-4-propyloctane 26.163 -3627.2 -5.8256 0 0 68.292 0.38 
4-methyl-4-tert-butylheptane 24.849 -3443.9 -5.4835 0 0 66.826 0.38 
2-methyl-4-tert-butylheptane 25.767 -3444.4 -5.7753 0 0 65.202 0.38 
3-methyl-4-tert-butylheptane 25.535 -3462.8 -5.6935 0 0 65.982 0.38 
2-methyl-5,5-diethylheptane 25.481 -3537.1 -5.6462 0 0 67.641 0.38 
3-methyl-5,5-diethylheptane 25.437 -3540.9 -5.6306 0 0 67.798 0.38 
3-methyl-5-ethylnonane 26.256 -3619.4 -5.8581 0 0 67.974 0.38 
2-methyl-5-ethylnonane 26.209 -3623.3 -5.8418 0 0 68.133 0.38 
4-methyl-5-ethylnonane 26.117 -3631 -5.8094 0 0 68.451 0.38 
5-methyl-5-ethylnonane 25.788 -3582 -5.7252 0 0 68.05 0.38 
4-methyl-5-isopropyloctane 25.993 -3570.7 -5.7945 0 0 67.412 0.38 
3-methyl-5-isopropyloctane 26.086 -3563.1 -5.8272 0 0 67.095 0.38 
2-methyl-5-isopropyloctane 26.132 -3559.3 -5.8437 0 0 66.937 0.38 
4-methyl-5-propyloctane 26.209 -3623.3 -5.8418 0 0 68.133 0.38 
3-methyl-5-propyloctane 26.302 -3615.5 -5.8745 0 0 67.815 0.38 
2-methyl-5-propyloctane 26.444 -3603.9 -5.9243 0 0 67.338 0.38 
2-methyl-6-ethylnonane 26.117 -3631 -5.8094 0 0 68.451 0.38 
4-methyl-6-ethylnonane 26.209 -3623.3 -5.8418 0 0 68.133 0.38 
3-methyl-6-ethylnonane 26.072 -3634.9 -5.7934 0 0 68.61 0.38 
2-methyl-7-ethylnonane 25.936 -3646.6 -5.7458 0 0 69.088 0.38 
3-methyl-7-ethylnonane 26.026 -3638.8 -5.7774 0 0 68.77 0.38 
4-methyl-7-ethylnonane 26.026 -3638.8 -5.7774 0 0 68.77 0.38 
5-methylundecane 26.061 -3707.8 -5.7608 0 0 70.138 0.38 
6-methylundecane 26.061 -3707.8 -5.7608 0 0 70.138 0.38 
4-methylundecane 25.928 -3719.7 -5.7144 0 0 70.619 0.38 
3-methylundecane 25.885 -3723.7 -5.699 0 0 70.78 0.38 
2-methylundecane 25.885 -3723.7 -5.699 0 0 70.78 0.38 
2,2,3,4,4-pentamethyl-3-ethylpentane 23.283 -3364.7 -5.0211 0 0 68.041 0.38 
2,2,4,6,6-pentamethylheptane 25.45 -3328.3 -5.7232 0 0 63.325 0.38 
2,2,4,4,6-pentamethylheptane 25.093 -3355.3 -5.5975 0 0 64.502 0.38 
2,2,4,4,5-pentamethylheptane 24.631 -3392.4 -5.4351 0 0 66.106 0.38 
2,2,3,4,4-pentamethylheptane 24.376 -3414.1 -5.3457 0 0 67.032 0.38 
2,2,3,3,6-pentamethylheptane 24.761 -3381.7 -5.481 0 0 65.643 0.38 
2,2,3,3,4-pentamethylheptane 24.46 -3406.9 -5.3752 0 0 66.723 0.38 
2,2,4,5,6-pentamethylheptane 25.454 -3400.6 -5.6936 0 0 64.803 0.38 
2,2,3,3,5-pentamethylheptane 24.718 -3385.3 -5.4656 0 0 65.797 0.38 
2,2,4,5,5-pentamethylheptane 25.075 -3356.7 -5.5911 0 0 64.564 0.38 
2,3,4,5,6-pentamethylheptane 25.33 -3485.2 -5.6189 0 0 66.757 0.38 
2,2,3,5,6-pentamethylheptane 25.279 -3414.3 -5.632 0 0 65.392 0.38 
2,3,3,4,6-pentamethylheptane 25.001 -3436.9 -5.5344 0 0 66.354 0.38 
2,2,3,6,6-pentamethylheptane 25.12 -3353.1 -5.6071 0 0 64.41 0.38 
2,3,3,4,5-pentamethylheptane 24.784 -3455.2 -5.4581 0 0 67.131 0.38 
2,3,3,4,4-pentamethylheptane 24.334 -3417.8 -5.331 0 0 67.187 0.38 
2,2,5,5,6-pentamethylheptane 25.075 -3356.7 -5.5911 0 0 64.564 0.38 
2,3,3,5,6-pentamethylheptane 25.134 -3425.9 -5.5812 0 0 65.889 0.38 
2,3,4,4,5-pentamethylheptane 24.784 -3455.2 -5.4581 0 0 67.131 0.38 
2,2,3,5,5-pentamethylheptane 25.029 -3360.2 -5.5751 0 0 64.718 0.38 
2,3,4,4,6-pentamethylheptane 25.224 -3418.6 -5.6129 0 0 65.578 0.38 
2,3,4,5,5-pentamethylheptane 24.913 -3444.2 -5.5036 0 0 66.665 0.38 
2,3,3,5,5-pentamethylheptane 24.46 -3406.9 -5.3752 0 0 66.723 0.38 
2,4,4,5,5-pentamethylheptane 24.631 -3392.4 -5.4351 0 0 66.106 0.38 
3,3,4,4,5-pentamethylheptane 24.21 -3428.7 -5.2876 0 0 67.651 0.38 
3,3,4,5,5-pentamethylheptane 24.088 -3439.6 -5.2449 0 0 68.115 0.38 
2,2,3,4,5-pentamethylheptane 25.045 -3433.2 -5.5499 0 0 66.199 0.38 
2,2,3,4,6-pentamethylheptane 25.315 -3411.4 -5.6449 0 0 65.268 0.38 
5-propylnonane 26.47 -3672.1 -5.9048 0 0 68.697 0.38 
4-propylnonane 26.378 -3680 -5.8722 0 0 69.017 0.38 
4-tert-butyloctane -1.1173 -2092.57 3.3736 -4.7625e-10 -2.2777e-06 66.541 0.38 
2,2,4,4-tetramethyl-3-ethylhexane 24.46 -3406.9 -5.3752 0 0 66.723 0.38 
2,2,3,5-tetramethyl-3-ethylhexane 24.718 -3385.3 -5.4656 0 0 65.797 0.38 
2,3,4,5-tetramethyl-3-ethylhexane 24.741 -3458.9 -5.4431 0 0 67.286 0.38 
2,3,4,4-tetramethyl-3-ethylhexane 24.128 -3436 -5.2591 0 0 67.96 0.38 
2,2,5,5-tetramethyl-3-ethylhexane 25.353 -3335.5 -5.6889 0 0 63.64 0.38 
2,2,3,4-tetramethyl-3-ethylhexane 24.292 -3421.4 -5.3165 0 0 67.341 0.38 
2,2,4,5-tetramethyl-3-ethylhexane 25.224 -3418.6 -5.6129 0 0 65.578 0.38 
2,2,4,4-tetramethyl-3-isopropylpentane 24.412 -3341.4 -5.3864 0 0 65.39 0.38 
2,2,3,4-tetramethyl-3-isopropylpentane 23.993 -3377 -5.2394 0 0 66.924 0.38 
2,3,3,4-tetramethyl-4-ethylhexane 24.128 -3436 -5.2591 0 0 67.96 0.38 
2,2,3,5-tetramethyl-4-ethylhexane 25.179 -3422.3 -5.597 0 0 65.734 0.38 
2,2,3,3-tetramethyl-4-ethylhexane 27.6742 -3600.7 -6.45 -1.1696e-10 2.3314e-07 66.878 0.38 
2,2,4,5-tetramethyl-4-ethylhexane 27.4956 -3560.67 -6.3948 -5.9256e-11 2.2232e-07 66.26 0.38 
2,2,3,4-tetramethyl-4-ethylhexane 8.1932 -2549.74 0.0942 -1.5257e-09 -1.1404e-06 67.96 0.38 
2,3,3,5-tetramethyl-4-ethylhexane 29.1241 -3715.01 -6.8778 -1.4173e-10 1.6719e-07 66.665 0.38 
2,2,4,6-tetramethyloctane 10.319 -2572.74 -0.6051 -2.523e-10 -1.0162e-06 65.202 0.38 
2,3,5,7-tetramethyloctane 22.1087 -3299.13 -4.5126 -2.7146e-10 -3.1915e-07 66.378 0.38 
2,2,3,6-tetramethyloctane 2.9407 -2211.75 1.8818 -6.2174e-10 -1.5564e-06 66.606 0.38 
2,2,3,5-tetramethyloctane 12.5673 -2726.95 -1.3623 -4.2677e-10 -8.5064e-07 66.294 0.38 
2,2,3,4-tetramethyloctane 1.4387 -2164.57 2.419 5.1939e-10 -1.7787e-06 66.762 0.38 
2,2,3,3-tetramethyloctane 6.2115 -2403.41 0.7612 -1.5029e-09 -1.2853e-06 67.137 0.38 
2,2,3,7-tetramethyloctane 5.1024 -2359.56 1.1882 -1.0661e-09 -1.5355e-06 66.606 0.38 
2,2,4,4-tetramethyloctane 21.6373 -3178.12 -4.469 -2.266e-10 -1.8434e-08 65.894 0.38 
2,2,4,5-tetramethyloctane 9.8571 -2540.29 -0.4661 -5.7561e-10 -1.0024e-06 65.514 0.38 
2,3,4,5-tetramethyloctane 22.2045 -3348.78 -4.5481 5.8404e-10 -2.2173e-07 67.478 0.38 
2,2,6,7-tetramethyloctane 9.4203 -2597.03 -0.2509 -5.8464e-10 -1.2639e-06 66.138 0.38 
2,4,4,5-tetramethyloctane 14.6077 -2812.6 -2.0775 -2.2359e-10 -5.911e-07 66.138 0.38 
2,3,6,7-tetramethyloctane 18.9431 -3190.75 -3.4131 -4.2553e-10 -6.2009e-07 67.321 0.38 
2,3,6,6-tetramethyloctane 24.5247 -3407.01 -5.3706 -1.659e-10 1.3775e-08 66.45 0.38 
2,3,5,6-tetramethyloctane 25.5097 -3493.84 -5.6886 -1.6707e-10 1.0927e-07 67.164 0.38 
2,3,5,5-tetramethyloctane 25.308 -3481.2 -5.6139 0 0 66.762 0.38 
2,4,4,7-tetramethyloctane 25.814 -3440.8 -5.792 0 0 65.046 0.38 
2,3,4,6-tetramethyloctane 25.638 -3529.8 -5.6986 0 0 67.164 0.38 
2,4,5,5-tetramethyloctane 25.443 -3470.1 -5.6614 0 0 66.294 0.38 
2,3,4,4-tetramethyloctane 25.264 -3485 -5.5982 0 0 66.918 0.38 
2,3,3,7-tetramethyloctane 25.264 -3485 -5.5982 0 0 66.918 0.38 
2,3,3,6-tetramethyloctane 25.264 -3485 -5.5982 0 0 66.918 0.38 
2,3,3,5-tetramethyloctane 25.353 -3477.5 -5.6296 0 0 66.606 0.38 
2,3,3,4-tetramethyloctane 25.044 -3503.6 -5.5213 0 0 67.7 0.38 
2,2,7,7-tetramethyloctane 25.432 -3396.7 -5.6886 0 0 64.809 0.38 
2,3,4,7-tetramethyloctane 25.684 -3526 -5.7145 0 0 67.007 0.38 
3,3,4,6-tetramethyloctane 25.264 -3485 -5.5982 0 0 66.918 0.38 
4,4,5,5-tetramethyloctane 24.763 -3451.3 -5.4533 0 0 67.137 0.38 
3,4,5,6-tetramethyloctane 25.459 -3544.9 -5.6356 0 0 67.792 0.38 
3,4,5,5-tetramethyloctane 25.219 -3488.7 -5.5827 0 0 67.075 0.38 
3,4,4,6-tetramethyloctane 25.308 -3481.2 -5.6139 0 0 66.762 0.38 
3,4,4,5-tetramethyloctane 25.044 -3503.6 -5.5213 0 0 67.7 0.38 
3,3,6,6-tetramethyloctane 25.217 -3413.7 -5.6127 0 0 65.537 0.38 
2,4,4,6-tetramethyloctane 25.767 -3444.4 -5.7753 0 0 65.202 0.38 
3,3,5,5-tetramethyloctane 24.892 -3440.3 -5.4988 0 0 66.67 0.38 
2,4,5,7-tetramethyloctane 26.042 -3497.2 -5.8406 0 0 65.798 0.38 
3,3,4,5-tetramethyloctane 25.175 -3492.4 -5.5672 0 0 67.231 0.38 
3,3,4,4-tetramethyloctane 24.677 -3458.6 -5.4234 0 0 67.447 0.38 
2,5,6,6-tetramethyloctane 25.264 -3485 -5.5982 0 0 66.918 0.38 
2,5,5,6-tetramethyloctane 25.353 -3477.5 -5.6296 0 0 66.606 0.38 
2,4,6,6-tetramethyloctane 25.673 -3451.7 -5.7423 0 0 65.514 0.38 
2,4,5,6-tetramethyloctane 25.684 -3526 -5.7145 0 0 67.007 0.38 
3,3,5,6-tetramethyloctane 25.398 -3473.8 -5.6455 0 0 66.45 0.38 
2,2,6,6-tetramethyloctane 25.432 -3396.7 -5.6886 0 0 64.809 0.38 
2,2,5,7-tetramethyloctane 25.767 -3444.4 -5.7753 0 0 65.202 0.38 
2,2,5,6-tetramethyloctane 25.535 -3462.8 -5.6935 0 0 65.982 0.38 
2,2,4,7-tetramethyloctane 25.777 -3443.7 -5.7786 0 0 65.17 0.38 
2,2,5,5-tetramethyloctane 25.479 -3393.1 -5.705 0 0 64.654 0.38 
3,3,4-triethylhexane 25.132 -3567.5 -5.5237 0 0 68.9 0.38 
2,2,4-trimethyl-3,3-diethylpentane 41.1264 -4365.21 -10.9802 -1.635e-08 1.2923e-06 67.651 0.38 
